,회사명,항목명,항목코드,당기
4488,LS산전,계약자산,entity00105855_udf_BS_20185913127705_CurrentAssets,254876810000.0
4220,LG헬로비전,계약자산,entity00222532_udf_BS_201842520019809_CurrentAssets,55312970000.0
72487,포스코케미칼,계약자산,entity00155276_udf_BS_201858111625780_CurrentAssets,11333192000.0
51898,웅진,계약자산,entity00143651_udf_BS_201932814038294_CurrentAssets,
14512,대교,계약자산,entity00108913_udf_BS_20185917780_CurrentAssets,2597912000.0
48606,영우디에스피,계약자산,entity00569646_udf_BS_2020310103431507_CurrentAssets,28510288.0
75960,한국조선해양,계약자산,entity00164830_udf_BS_2020227103037840_CurrentAssets,4729633000000.0
14521,대교,계약자산,entity00108913_udf_BS_201859171623267_NoncurrentAssets,4240175000.0
75637,한국전자금융,계약자산,entity00363769_udf_BS_2019320101259215_CurrentAssets,908138900.0
230,AP시스템,계약자산,entity01203808_udf_BS_201851315152557_CurrentAssets,31787346000.0
78763,한진중공업,계약자산,entity00633835_udf_BS_2019327193752616_CurrentAssets,213209000000.0
46857,엔시트론,계약자산,entity00641393_udf_BS_2018813141240481_CurrentAssets,99341250.0
4123,LG전자,계약자산,entity00401731_udf_BS_201842515444169_NoncurrentAssets,205976000000.0
4110,LG전자,계약자산,entity00401731_udf_BS_2018425152221773_CurrentAssets,671519000000.0
66997,코아스,계약자산,entity00210856_udf_BS_201931510584142_CurrentAssets,3157343700.0
80415,현대미포조선,계약자산,entity00164609_udf_BS_201851494212513_CurrentAssets,857520200000.0
79376,한화,계약자지분조정,entity00160588_udf_BS_20171113203842578_udf_BS_20171113203756858_LiabilitiesAbstract,429442000000.0
58231,인터파크홀딩스,고객예치금,entity00244561_udf_BS_2018811142759939_CurrentLiabilities,78885180000.0
23709,린드먼아시아,공동기업및관계기업투자,entity00616962_udf_BS_201987104659685_NoncurrentAssets,
21624,디지틀조선,공동기업및관계기업투자주식,entity00231442_udf_BS_2017111495421909_NoncurrentAssets,2462299600.0
68690,클리오,공동기업의가타포괄손익지분해당액,entity00957735_udf_BS_2020324202245238_OtherComprehensiveIncomeLossAccumulatedAmount,24067632.0
34976,세아홀딩스,공동기업투자,entity00377610_udf_BS_2018820144151164_NoncurrentAssets,28937870000.0
21578,디지털대성,공동기업투자,entity00398808_udf_BS_2020318111221487_NoncurrentAssets,1165629400.0
20271,두올,공동기업투자,entity00119672_udf_BS_201932611392252_NoncurrentAssets,
1106,DMS,공동기업투자,entity00361594_udf_BS_202032720154962_NoncurrentAssets,13128134000.0
10191,그린플러스,공동기업투자주식,entity00602279_udf_BS_2019111417115562_NoncurrentAssets,128271890.0
42667,애경산업,공동기업투자주식,entity00139454_udf_BS_2018329152835544_NoncurrentAssets,1062251800.0
38917,쌍용자동차,공동기업투자주식,entity00138242_udf_BS_201811215811192_NoncurrentAssets,19053780000.0
73005,풍산,공동기업투자주식,entity00684714_udf_BS_2017102420571567_udf_BS_20171024205620700_NoncurrentAssets,0.0
6575,SK머티리얼즈,공동기업투자주식,entity00110051_udf_BS_202032619335992_NoncurrentAssets,
11666,나이스디앤비,공동기업투자주식,entity00606293_udf_BS_2017111019308339_NoncurrentAssets,9887141000.0
75374,한국수출포장공업,공동영업자산,entity00158112_udf_BS_20202198318762_NoncurrentAssets,48027188.0
72174,평화홀딩스,공동지배기업투자,entity00155124_udf_BS_2017111384012250_NoncurrentAssets,80956470000.0
78881,한진중공업홀딩스,공사부담금,entity00163673_udf_BS_2018326101222_NoncurrentLiabilities,179056000000.0
58061,인터엠,공사손실충당금,entity00145914_udf_BS_2019122685235809_NoncurrentLiabilities,66850304.0
30657,삼성중공업,공사손실충당부채,entity00126478_udf_BS_2018512114411316_CurrentLiabilities,120226950000.0
46288,에코바이오,공사손실충당부채,entity00287812_udf_BS_2017111211114048_NoncurrentLiabilities,
59440,일진전기,공사손실충당부채,entity00683469_udf_BS_201932615246727_TradeAndOtherCurrentPayables,77816056.0
58148,인터파크,공연투자자산,entity00598587_udf_BS_2017116205323549_CurrentAssets,5606897700.0
58200,인터파크홀딩스,공연투자자산,entity00244561_udf_BS_20171110175736601_CurrentAssets,5606897700.0
6080,SIMPAC,공정가치-공정가치측정금융자산,entity00138260_udf_BS_201881318385405_OtherNoncurrentFinancialAssets,10948556000.0
66848,코스모화학,공정가치금융자산,entity00160302_udf_BS_2018814143521539_NoncurrentAssets,291000000.0
55024,육일씨엔에쓰,공정가치금융자산,entity00843900_udf_BS_2019514144452357_NoncurrentAssets,69885000.0
25758,모트렉스,공정가치금융자산,entity00876908_udf_BS_202039203739365_NoncurrentAssets,1783545900.0
63123,진바이오텍,공정가치금융자산-기타,entity00491053_udf_BS_201810813434244_NoncurrentAssets,878653600.0
63124,진바이오텍,공정가치금융자산-당기,entity00491053_udf_BS_201810813437173_NoncurrentAssets,1792370000.0
30510,삼성전기,공정가치측정금융상품,entity00126371_udf_BS_2018427133626424_NoncurrentAssets,173348300000.0
3147,KG케미칼,공정가치측정금융자산,entity00101220_udf_BS_201932714325537_CurrentAssets,14940363000.0
75694,한국전자인증,공정가치측정금융자산,entity00361169_udf_BS_201932017953550_NoncurrentAssets,2334194400.0
62182,주성엔지니어링,공정가치측정금융자산,entity00252135_udf_BS_2020224142611910_NoncurrentAssets,7112440000.0
71040,파버나인,공정가치측정금융자산,entity00429694_udf_BS_202033145545541_NoncurrentAssets,362668770.0
20831,디알젬,공정가치측정지분상품,entity00966168_udf_BS_2019331135430920_NoncurrentAssets,1432005200.0
20826,디알젬,공정가치측정파생상품,entity00966168_udf_BS_2019331133230815_CurrentAssets,0.0
49625,오리온,관계기업및공동기업투자,entity01238169_udf_BS_201881313509295_NoncurrentAssets,32286796000.0
68642,클리오,관계기업및공동기업투자,entity00957735_udf_BS_202032419491360_NoncurrentAssets,162774260.0
2213,HDC현대산업개발,관계기업및공동기업투자,entity01310269_udf_BS_2020310151359449_NoncurrentAssets,78831950000.0
30455,삼성엔지니어링,관계기업및공동기업투자,entity00126308_udf_BS_20188715260642_NoncurrentAssets,77523304000.0
19985,두산,관계기업및공동기업투자,entity00117212_udf_BS_2018814103350340_NoncurrentAssets,173874350000.0
6356,SK네트웍스,관계기업및공동기업투자,entity00131780_udf_BS_2018321144926112_NoncurrentAssets,23625000000.0
30571,삼성전자,관계기업및공동기업투자,entity00126380_udf_BS_20171018221637438_NoncurrentAssets,7591612000000.0
9279,고려아연,관계기업및공동기업투자,entity00102858_udf_BS_201981211921789_NoncurrentAssets,21984780000.0
6670,SK이노베이션,관계기업및공동기업투자,entity00631518_udf_BS_202032019200950_NoncurrentAssets,3495070000000.0
6786,SK텔레콤,관계기업및공동기업투자,entity00159023_udf_BS_201711910364126_NoncurrentAssets,13385263000000.0
44273,에스원,관계기업및공동기업투자주식,entity00158501_udf_BS_2020213145149699_NoncurrentAssets,2561155800.0
30895,삼양식품,관계기업및공동기업투자주식,entity00126955_udf_BS_2019111392849997_NoncurrentAssets,5658899500.0
21212,디오스텍,관계기업및종속기업투자,entity01031502_udf_BS_2017111317349196_NoncurrentAssets,2153526300.0
62180,주성엔지니어링,관계기업및종속기업투자자산,entity00252135_udf_BS_2020224142517404_NoncurrentAssets,94666910.0
23707,린드먼아시아,관계기업사모투자자산,entity00616962_udf_BS_20181199598316_udf_BS_201811995833869_AssetsAbstract,9108677000.0
3650,KSS해운,관계기업자본변동,entity00160232_udf_BS_2018814954380_OtherComprehensiveIncomeLossAccumulatedAmount,104118830.0
21433,디젠스,관계기업적용투자주식,entity00576789_udf_BS_2019327163711165_NoncurrentAssets,1536426200.0
23704,린드먼아시아,관계기업조합출자금,entity00616962_udf_BS_20181199588669_udf_BS_201811995756757_AssetsAbstract,12773665000.0
2821,KC그린홀딩스,관계기업주식,entity00159971_udf_BS_2017117145918125_NoncurrentAssets,9037514000.0
30841,삼양사,관계기업주식및공동기업주식,entity00896285_udf_BS_201711716123686_NoncurrentAssets,15721000000.0
33920,선진,관계기업지분투자,entity00855093_udf_BS_2017103017652440_NoncurrentAssets,9800000.0
47013,엔에스쇼핑,관계기업지분투자,entity00406392_udf_BS_201883153617764_NoncurrentAssets,
5217,S&TC,관계기업투자,entity00648721_udf_BS_202022913104490_NoncurrentAssets,0.0
71580,팍스넷,관계기업투자,entity00334624_udf_BS_202032714425591_NoncurrentAssets,2565271600.0
36363,솔트웍스,관계기업투자,entity01110076_udf_BS_2018329124854797_NoncurrentAssets,3030512600.0
4222,LG헬로비전,관계기업투자,entity00222532_udf_BS_201842520520235_NoncurrentAssets,3758558700.0
2594,JW중외제약,관계기업투자,entity00149947_udf_BS_2020328121552259_NoncurrentAssets,5156294700.0
37704,신성이엔지,관계기업투자,entity00136271_udf_BS_2019510154529734_NoncurrentAssets,7230252500.0
65507,케이프,관계기업투자,entity00152437_udf_BS_2018322154752845_udf_BS_2018322152156478_AssetsAbstract,23184978000.0
64359,컬러레이,관계기업투자,entity01236286_udf_BS_2019429211324817_NoncurrentAssets,10940337.0
82950,휴메딕스,관계기업투자,entity00614478_udf_BS_202032583752909_NoncurrentAssets,4507000000.0
79880,행남사,관계기업투자,entity00164362_udf_BS_2019326142329907_NoncurrentAssets,
40860,아시아나항공,관계기업투자,entity00138792_udf_BS_20191113113532514_NoncurrentAssets,113083380000.0
67623,코콤,관계기업투자,entity00187725_udf_BS_2017103018041111_NoncurrentAssets,483011040.0
48948,예림당,관계기업투자,entity00259934_udf_BS_202022720294331_NoncurrentAssets,143398960.0
83197,휴온스글로벌,관계기업투자,entity00228059_udf_BS_201911121571975_NoncurrentAssets,10680226000.0
26811,미코,관계기업투자,entity00366942_udf_BS_2019111121125468_NoncurrentAssets,9106794000.0
44580,에스제이케이,관계기업투자,entity00366793_udf_BS_20171030171431945_NoncurrentAssets,2600000000.0
54284,유성티엔에스,관계기업투자,entity00173999_udf_BS_2017111095340109_NoncurrentAssets,118321040000.0
46453,에프알텍,관계기업투자,entity00442561_udf_BS_2019328174932257_NoncurrentAssets,2532962600.0
70179,특수건설,관계기업투자,entity00186939_udf_BS_201833182036652_NoncurrentAssets,1391395200.0
1155,DRB동일,관계기업투자,entity00118266_udf_BS_202032513153729_NoncurrentAssets,2392694500.0
45633,에이치엘비생명과학,관계기업투자,entity00365590_udf_BS_202032494850138_NoncurrentAssets,5445473300.0
51434,우성사료,관계기업투자,entity00142661_udf_BS_2019103110350296_NoncurrentAssets,40093164000.0
