회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,항목코드,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,현금,현금성자산,정부보조금,단기금융상품,매출채권 및 기타유동채권,매출채권,대손충당금,단기금융리스채권,대손충당금,단기이연대출부대수익,대손충당금,단기미수금,대손충당금,공사미수금,대손충당금,분양미수금,대손충당금,대행미수금,대손충당금,단기미수수익,대손충당금,단기보증금자산,대손충당금,단기선급금,대손충당금,부가가치세대급금,단기선급비용,대손충당금,단기선급공사원가,대손충당금,단기임차보증금,대손충당금,단기공사유보금,유동회생채권,단기미청구공사,대손충당금,유동계약자산,단기대여금,대손충당금,당기법인세자산,재고자산,원재료,평가충당금,시험재료,평가충당금,상품,평가충당금,소모품,평가충당금,재공품,평가충당금,제품,평가충당금,반제품,평가충당금,저장품,평가충당금,미착품,평가충당금,부산물,평가충당금,완성주택,평가충당금,용지,평가충당금,기타재고,평가충당금,기타유동금융자산,유동매도가능금융자산,유동 기타포괄손익-공정가치 측정 금융자산,유동 기타포괄손익-공정가치 측정 지정 지분상품 투자,유동만기보유금융자산,유동 상각후원가 측정 금융자산,유동단기매매금융자산,유동 당기손익-공정가치 의무 측정 금융자산,유동당기손익인식지정금융자산,유동 당기손익-공정가치 측정 지정 금융자산,유동파생상품자산,유동확정계약자산,유동생물자산,정부보조금,감가상각누계액,손상차손누계액,기타유동자산,유동배출권,정부보조금,손상차손누계액,양수자가 계약이나 관행에 따라 담보물을 매도하거나 다시 담보로 제공할 권리를 가지고 있는 유동 비현금담보물,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,비유동자산,장기금융상품,장기매출채권 및 기타비유동채권,장기매출채권,현재가치할인차금,대손충당금,장기금융리스채권,현재가치할인차금,대손충당금,장기이연대출부대손익,현재가치할인차금,대손충당금,장기미수금,현재가치할인차금,대손충당금,장기공사미수금,현재가치할인차금,대손충당금,장기분양미수금,현재가치할인차금,대손충당금,장기대행미수금,현재가치할인차금,대손충당금,장기미수수익,현재가치할인차금,대손충당금,장기보증금자산,현재가치할인차금,대손충당금,장기선급금,현재가치할인차금,대손충당금,장기선급비용,현재가치할인차금,대손충당금,장기대여금,현재가치할인차금,대손충당금,장기임차보증금,현재가치할인차금,대손충당금,장기미청구공사,현재가치할인차금,대손충당금,비유동계약자산,장기공사유보금,현재가치할인차금,대손충당금,비유동회생채권,유형자산,토지,정부보조금,손상차손누계액,건물,정부보조금,감가상각누계액,손상차손누계액,건물부대설비,정부보조금,감가상각누계액,손상차손누계액,시설물,정부보조금,감가상각누계액,손상차손누계액,구축물,정부보조금,감가상각누계액,손상차손누계액,기계장치,정부보조금,감가상각누계액,손상차손누계액,차량운반구,정부보조금,감가상각누계액,손상차손누계액,공급설비,정부보조금,감가상각누계액,손상차손누계액,전산장비/전산설비,정부보조금,감가상각누계액,손상차손누계액,공구와기구,정부보조금,감가상각누계액,손상차손누계액,금융리스자산,정부보조금,감가상각누계액,손상차손누계액,사용권자산,임차구축물,정부보조금,감가상각누계액,손상차손누계액,집기,정부보조금,감가상각누계액,손상차손누계액,사무용비품,정부보조금,감가상각누계액,손상차손누계액,유형탐사평가자산,정부보조금,감가상각누계액,손상차손누계액,건설중인자산,정부보조금,손상차손누계액,렌탈자산,정부보조금,감가상각누계액,손상차손누계액,선박,정부보조금,감가상각누계액,손상차손누계액,기타유형자산,정부보조금,감가상각누계액,손상차손누계액,투자부동산,정부보조금,감가상각누계액,손상차손누계액,영업권,손상차손누계액,영업권 이외의 무형자산,브랜드명,정부보조금,감가상각누계액,손상차손누계액,무형탐사평가자산,정부보조금,감가상각누계액,손상차손누계액,제호와 출판표제,정부보조금,감가상각누계액,손상차손누계액,컴퓨터소프트웨어,정부보조금,감가상각누계액,손상차손누계액,라이선스와 프랜차이즈,정부보조금,감가상각누계액,손상차손누계액,"저작권, 특허권, 기타 산업재산권, 용역운영권",정부보조금,감가상각누계액,손상차손누계액,"조리법, 공식, 모형, 설계 및 시제품",정부보조금,감가상각누계액,손상차손누계액,실용신안권,정부보조금,감가상각누계액,손상차손누계액,전신전화가입권,정부보조금,감가상각누계액,손상차손누계액,완성프로그램,정부보조금,감가상각누계액,손상차손누계액,미완성프로그램,정부보조금,감가상각누계액,손상차손누계액,사용수익기부자산,정부보조금,감가상각누계액,손상차손누계액,전산자동화개발,정부보조금,감가상각누계액,손상차손누계액,차지권,정부보조금,감가상각누계액,손상차손누계액,채굴권,정부보조금,감가상각누계액,손상차손누계액,토지사용권,정부보조금,감가상각누계액,손상차손누계액,개발 중인 무형자산,정부보조금,손상차손누계액,비유동배출권,정부보조금,손상차손누계액,기타무형자산,정부보조금,감가상각누계액,손상차손누계액,기타비유동금융자산,비유동매도가능금융자산,비유동 기타포괄손익-공정가치 측정 금융자산,비유동 기타포괄손익-공정가치 측정 지정 지분상품 투자,비유동만기보유금융자산,비유동 상각후원가 측정 금융자산,비유동당기손익인식금융자산,비유동 당기손익-공정가치 측정 지정 금융자산,비유동 당기손익-공정가치 의무 측정 금융자산,비유동확정계약자산,비유동파생상품자산,퇴직급여운용자산/퇴직연금운용자산,퇴직보험예치금,"종속기업, 조인트벤처와 관계기업에 대한 투자자산",종속기업에 대한 투자자산,조인트벤처에 대한 투자자산,관계기업에 대한 투자자산,지분법적용 투자지분,비유동생물자산,정부보조금,감가상각누계액,손상차손누계액,이연법인세자산,양수자가 계약이나 관행에 따라 담보물을 매도하거나 다시 담보로 제공할 권리를 가지고 있는 비유동 비현금담보물,기타비유동자산,자산총계,부채 [abstract],유동부채,매입채무 및 기타유동채무,단기매입채무,단기초과청구공사,유동계약부채,단기미지급금,미지급배당금,단기미지급비용,단기임대보증금,단기기타보증금,단기예수금,추심예수금,부가가치세예수금,단기예수보증금,단기선수금,공사선수금,분양선수금,투자선수금,단기이연수익,단기선수수익,단기선수임대료,단기차입금,유동성장기차입금,유동성장기미지급금,유동성사채,유동성전환사채,유동성신주인수권부사채,유동성전환상환우선주부채,유동성교환사채,유동성금융리스부채,유동리스부채,유동회생채무,미지급법인세,당기법인세부채,기타유동금융부채,유동단기매매금융부채,유동 단기매매정의 충족 금융부채,유동당기손익인식지정금융부채,유동 당기손익-공정가치 측정 지정 금융부채,유동 상각후원가 측정 금융부채,유동금융보증부채,유동파생상품부채,유동확정계약부채,유동충당부채,유동종업원급여충당부채,유동판매보증충당부채,유동하자보수충당부채,유동반품충당부채,유동공사손실충당부채,단기제품보증충당부채,단기구조조정충당부채,단기법적소송충당부채,단기손실부담계약충당부채,"단기 사후처리, 복구, 정화 비용을 위한 충당부채",그 밖의 기타단기충당부채,매각예정으로 분류된 처분자산집단에 포함된 부채,기타유동부채,유동배출부채,비유동부채,장기매입채무 및 기타비유동채무,장기매입채무,현재가치할인차금,장기초과청구공사,비유동계약부채,장기미지급금,현재가치할인차금,장기미지급비용,현재가치할인차금,장기임대보증금,현재가치할인차금,장기기타보증금,현재가치할인차금,장기예수금,현재가치할인차금,장기예수보증금,현재가치할인차금,장기선수금,현재가치할인차금,장기공사선수금,현재가치할인차금,장기이연수익,현재가치할인차금,장기선수수익,장기선수임대료,현재가치할인차금,장기차입금,현재가치할인차금,사채,사채상환할증금,사채할인발행차금,사채할증발행차금,전환사채,전환사채상환할증금,전환사채전환권조정,전환사채할인발행차금,전환사채할증발행차금,신주인수권부사채,신주인수권부사채상환할증금,신주인수권부사채할인발행차금,신주인수권부사채할증발행차금,전환상환우선주부채,전환상환우선주부채상환할증금,전환상환우선주부채할인발행차금,전환상환우선주부채할증발행차금,교환사채,교환사채상환할증금,교환사채전환권조정,교환사채할인발행차금,교환사채할증발행차금,비유동금융리스부채,비유동리스부채,비유동회생채무,기타비유동금융부채,비유동당기손익인식금융부채,비유동 단기매매정의 충족 금융부채,비유동 당기손익-공정가치 측정 지정 금융부채,비유동 상각후원가 측정 금융부채,비유동금융보증부채,비유동파생상품부채,비유동확정계약부채,비유동충당부채,비유동종업원급여충당부채,비유동반품충당부채,비유동하자보수충당부채,비유동판매보증충당부채,비유동공사손실충당부채,장기제품보증충당부채,장기구조조정충당부채,장기법적소송충당부채,장기손실부담계약충당부채,"장기 사후처리, 복구, 정화 비용을 위한 충당부채",그 밖의 기타장기충당부채,퇴직급여부채,확정급여채무의현재가치,사외적립자산의공정가치,퇴직급여운용자산/퇴직연금운용자산,퇴직보험예치금,이연법인세부채,기타비유동부채,비유동배출부채,부채총계,자본 [abstract],지배기업의 소유주에게 귀속되는 자본,자본금,보통주자본금,우선주자본금,자본잉여금,주식발행초과금,감자차익,자기주식처분이익,전환권대가,신주인수권대가,교환권대가,기타자본잉여금,기타자본구성요소,신주청약증거금,주식할인발행차금,자기주식,감자차손,자기주식처분손실,주식선택권,미가득주식,출자전환채무,기타자본조정,기타포괄손익누계액,재평가잉여금,확정급여제도의 재측정손익,매도가능금융자산평가이익,매도가능금융자산평가손실,기타포괄손익-공정가치 측정 금융자산 평가이익 적립금,기타포괄손익-공정가치 측정 금융자산 평가손실 적립금,지분상품투자에 대한 위험회피수단 평가이익 적립금,지분상품투자에 대한 위험회피수단 평가손실 적립금,옵션의 시간가치 변동 적립금,선도계약의 선도요소 가치 변동 적립금,외화베이시스스프레드 변동 적립금,지분상품투자 평가이익 적립금,지분상품투자 평가손실 적립금,신용위험 변동에 의한 금융부채 공정가치 변동 적립금,해외사업환산이익,해외사업환산손실,현금흐름위험회피파생상품평가이익,현금흐름위험회피파생상품평가손실,지분법기타포괄손익변동,이익잉여금(결손금),이익준비금,기타법정적립금,임의적립금,미처분이익잉여금(미처리결손금),비지배지분,자본총계,자본과부채총계
[027740],마니커,유가증권시장상장법인,101.0,"도축, 육류 가공 및 저장 처리업",12.0,2019-12-31,사업보고서,,,31745075200.0,1798855552.0,,,,,16601666560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68991328.0,2800739072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3185918208.0,,,,,,,,,,,,6968102912.0,,,,320801824.0,,,,,,151419977728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116695515136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23075190784.0,,,,,,892989056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070382976.0,,,3904629248.0,,,,500000000.0,,,,,,,,,,4281275136.0,,,,,,,,183165059072.0,,58684801024.0,19137810432.0,,,,,,,,,,,,,,,,,,,,32450000896.0,4573760000.0,,,,,,,,,,,,1841105536.0,,,,,,,,,,,,,,,,,,,,,,682123456.0,,36306968576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2237920000.0,,29964068864.0,,,,,,,,,,,,,,,,,,,,,,,,,80293928.0,,,,,,,,,,,,,,,,,,,,3992309504.0,,,,,,32377720.0,,94991769600.0,,87880785920.0,79236300800.0,79236300800.0,,54139928576.0,,,,,,,,9104562176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-54600003584.0,,,,,292499424.0,88173281280.0,183165059072.0
[098120],마이크로컨텍솔,코스닥시장상장법인,262.0,전자부품 제조업,12.0,2019-12-31,사업보고서,,,19479418880.0,3523688704.0,,,,6300000256.0,6004128768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3426435072.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225165600.0,,,,,,17934432256.0,679001152.0,672609472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13997821952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27378726.0,,,,,,597258240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455961120.0,,,,,,,,,,,,,,,,,,,,1426450688.0,,77950000.0,37413851136.0,,3449643264.0,2940164608.0,,,,,,,,,,,,,,,,,,,,,109000000.0,,,,,,,,79056240.0,,,,,,,,,,,,,,,,,,,,,,,,,,321422432.0,,1222213376.0,374750016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41795496.0,,,,,,,,,,,,,,,,,,,,,,805667904.0,,,,,,,,4671856640.0,,32769951744.0,4156382976.0,,,5451.0,,,,,,,,328484.0,,,,,,,,,,6695353.0,,,,,,,,,,,,,,,,,,,,28606539776.0,,,,,-27959188.0,32741992448.0,37413851136.0
[227950],마이크로텍,코스닥시장상장법인,292.0,특수 목적용 기계 제조업,6.0,2019-06-30,사업보고서,,,17397266432.0,9880939520.0,,,,1050000000.0,1283083648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22423330.0,4896587776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264231552.0,,,,,,27393841152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12113861632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147328128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14132651008.0,,,,,,,,,,,,,,,,,,,,,,,,,44791107584.0,,28669808640.0,2213673472.0,,,,,,,,,,,,,,,,,,,,12827174912.0,,,,,,,,,,,,2400325.0,,,,,,,,13281529856.0,,95285992.0,,,,,,,,,,,,,249744896.0,,3711973120.0,2116115200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1197570432.0,,,,,,398287456.0,,32381782016.0,,12409324544.0,1900092800.0,,,16196706304.0,,,,,,,,322918624.0,,,,,,,,,,-259236448.0,,,,,,,,,,,,,,,,,,,,-5751157248.0,,,,,,12409324544.0,44791107584.0
[038290],마크로젠,코스닥시장상장법인,739.0,"그 외 기타 전문, 과학 및 기술 서비스업",12.0,2019-12-31,사업보고서,,,105384755200.0,16289978368.0,,,,39705653248.0,,31205011456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13298323456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1163216000.0,,,,,,,,,,,,,,,,3722574336.0,,,,,,120146690048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48361828352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46226526208.0,,,,,,8974573568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1559607424.0,,,,,,9719754752.0,,,,,,,,,,3236421888.0,,,,,,2039553280.0,,28420516.0,225531445248.0,,84604780544.0,,8559566336.0,,,,,,,,,,,,,,,,,,,8999999488.0,,,,,,,,,,,,1036784192.0,10361970688.0,,,,,,,,,,,,,,,,,,,,,,31693303808.0,,33103294464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20999999488.0,,,,,,4662408192.0,,,,,,,,,,,,,,,,,,,,,5377684480.0,,,,,,,,,,,,,,,,,,,,2063200896.0,,,,,,,,117708079104.0,,113328209920.0,5302727168.0,,,,88017444864.0,,,,,,,-17794652160.0,,,,,,,,,,1718050304.0,,,,,,,,,,,,,,,,,,,,36084641792.0,,,,,-5504844288.0,107823366144.0,225531445248.0
[204320],만도,유가증권시장상장법인,303.0,자동차 신품 부품 제조업,12.0,2019-12-31,사업보고서,,,2109809098752.0,205313703936.0,,,,,,1345350270976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39264026624.0,336797171712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,97393590272.0,,,,,,2485811675136.0,,,9811094528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946610040832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55644323840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171327209472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,44612091904.0,,,,,130797559808.0,,26781970432.0,4595620773888.0,,1756845309952.0,,995131916288.0,,,,,,,,,,,,,,,,,,,87504592896.0,348979363840.0,,,,,,,,,,,42560909312.0,,,,,,,,,,29306277888.0,,,,,,,,,,,,,,,1253161041920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,377272631296.0,,747927306240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27266469888.0,,,,,,,,,,,,5599242240.0,,,,,28408184832.0,,,3010006351872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73932005376.0,1585614553088.0,4595620773888.0
[001080],만호제강,유가증권시장상장법인,241.0,1차 철강 제조업,6.0,2019-06-30,사업보고서,,,164944805888.0,6037766656.0,,,,66794070016.0,67083505664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25029462016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84320288768.0,4080089088.0,3005666048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3005666048.0,,,,,,,,,,,,,,51957592064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23694387200.0,,,,,,938002048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,644555584.0,249265094656.0,,15920254976.0,15540410368.0,8107674624.0,,,6365947904.0,611960.0,265101632.0,,,,,,,,,,,,,,801074816.0,0.0,,,,,,,,,,,284303328.0,,,,,,,,,,,,,,,,,,,,,,,95541440.0,,2955168000.0,1281592064.0,,,,,,,,,1035292032.0,,,,,,246300000.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1165414400.0,,,,,508161696.0,,,18875422720.0,,230389678080.0,4150000128.0,,,125941694464.0,,,,,,,,-19285540864.0,,,,,,,,,,620024000.0,,,,,,,,,,,,,,,,,,,,118963494912.0,,,,,0.0,230389678080.0,249265094656.0
[267980],매일유업,코스닥시장상장법인,105.0,낙농제품 및 식용빙과류 제조업,12.0,2019-12-31,사업보고서,,,391914422272.0,84349575168.0,,,,8792984576.0,163585605632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116263542784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12089572352.0,119717224.0,,,,,,6713414656.0,,,,,,283281522688.0,6000000.0,25360795648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228839047168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17733193728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8218405888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41108528.0,,3082983424.0,675195977728.0,,214665674752.0,148786544640.0,,,1614102144.0,,,,,,,,,,,,,,,,,2654282240.0,5299999744.0,,30000001024.0,,,,,,3618235392.0,,,12944747520.0,,,,,,,,12375878.0,,,,,,,,,,,,,,,9735379968.0,,56895823872.0,4182158080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,29938868224.0,,,,,,,,,,,,,,,,,,,,,,,13283046400.0,,,,,,,,,,129735744.0,,,,,,,,,,,,6865683456.0,,,,,,2496332544.0,,271561490432.0,,403634454528.0,3921818880.0,,,,,,,,,,,251204698112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148507951104.0,,,,,,403634454528.0,675195977728.0
[005990],매일홀딩스,코스닥시장상장법인,105.0,낙농제품 및 식용빙과류 제조업,12.0,2019-12-31,사업보고서,,,492375113728.0,104106524672.0,,,,9292984320.0,181024129024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126626250752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61072711680.0,,,,,,,10132791296.0,,,,,,464088137728.0,7500000.0,43302297600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309504638976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49769349120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12613258240.0,,,,,,13185150976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2593290240.0,,,,,,,,,,,7534832128.0,,,,,,,,,8697490432.0,,9921781760.0,956463251456.0,,294293405696.0,175767470080.0,,,1633246336.0,,,,,,,,,,,,,,,,,17338482688.0,13900000256.0,,30000001024.0,,,,,,12574193664.0,,,12886321152.0,,,,,,,,13770822656.0,,2062702080.0,,,,,,,,,,,,,14360173568.0,,88325939200.0,4407782912.0,,,,,,,,,,,,,,,,,,,,,,,,,,3192999936.0,,29938868224.0,,,,,,,,,,,,,,,,,,,,,,,36731904000.0,,,,,,,,,,454026880.0,,,,,,,,,,,,11091518464.0,,,,,,2508843008.0,,382619353088.0,,291285860352.0,6859151872.0,,,,,,,,,,,-130326888448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414753587200.0,,,,,282558038016.0,573843898368.0,956463251456.0
[127160],매직마이크로,코스닥시장상장법인,262.0,전자부품 제조업,12.0,2019-12-31,사업보고서,,,31496327168.0,3661907968.0,,,,,,16671643648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293277376.0,8740691968.0,,,,,,,,,,,,,,,,,,,,,,,,,,,897227392.0,,,,,,,,,,,,,,,,1231579648.0,,,,,,97474355200.0,,3290889472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35217260544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11048891392.0,,,,,,31564802048.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361669248.0,,,,,,,,,,,,,,6967323648.0,,,,,,5015864.0,,8018505216.0,128970686464.0,,65037697024.0,,16574831616.0,,,,,,,,,,,,,,,,,,,19255824384.0,964351680.0,,,17309700096.0,,,,,,,,,926542464.0,,,,,,,,,,,,,,,,,,,,,,1176261376.0,,5711968256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2655190528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1900960512.0,,,,,,,,,,,,,,,,,,,,,1084023168.0,,,,70593952.0,,,70749667328.0,,55215607808.0,6149032448.0,,,57490071552.0,,,,,,,,,,,,,,,,,2439082240.0,78504536.0,,,,,,,,,,,,,,,,,,,,-10941083648.0,,,,,3005413632.0,58221019136.0,128970686464.0
[093520],매커스,코스닥시장상장법인,465.0,기계장비 및 관련 물품 도매업,12.0,2019-12-31,사업보고서,,,91615354880.0,18096889856.0,,,,205859760.0,7108177920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13954650.0,20477796352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,37675823104.0,,,,,,,9101243392.0,,,,28574580736.0,,,,,8036848640.0,,,,,,9507613696.0,,,,6950377.0,,,6950377.0,,,6950377.0,,,6950377.0,,,6950377.0,,,6950377.0,,,6950377.0,,,6950377.0,,,6950377.0,,,6950377.0,,,6950377.0,,,6950377.0,,,6950377.0,,,6950377.0,,,,6950377.0,,,4402846720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2721315072.0,,,,,,18729252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722340160.0,,194649632.0,,,,,,527690528.0,,,,,689608256.0,,,689608256.0,,,,,,612239232.0,,340534528.0,101122965504.0,,47937191936.0,45285343232.0,,,,,,,,,,,,,,,,,,,,1568000000.0,,,,,,,,,,,701948160.0,,135178544.0,,,,,,,,,,,,,,,,,,,,,,246721760.0,,772757248.0,207314512.0,,6950377.0,,,,6950377.0,,6950377.0,104740000.0,6950377.0,,6950377.0,,6950377.0,,6950377.0,,6950377.0,,6950377.0,,6950377.0,,,6950377.0,,6950377.0,,,,,,,,,,,,,,,,,,,,,,,,109524888.0,,,,,,,,,,,,,,,,,,,,,,550299200.0,,,,,,15143581.0,,48709947392.0,,52813672448.0,8081546240.0,,,8111482880.0,6864841728.0,,,,,,1246641536.0,-9600251904.0,,,9569048576.0,,,,,,-31203162.0,-164501552.0,,,,164501552.0,,,,,,,,,,,,,,,,46385393664.0,585639872.0,,,45799755776.0,-400654176.0,52413018112.0,101122965504.0
[067280],멀티캠퍼스,코스닥시장상장법인,856.0,기타 교육기관,12.0,2019-12-31,사업보고서,,,90036805632.0,10868308992.0,,,,18988840960.0,,42504564736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15021394944.0,,,247187584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114022563840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8409183744.0,,,,,5236882432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40364773376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4375979008.0,,,204059377664.0,,58265919488.0,19306158080.0,,,,,,,66711620.0,,,,,,,,,,,,,,,,,,,,,,9337908224.0,,1557688192.0,,,,,,,,,,,228586656.0,,,,,,,,,,,,,,,33556285440.0,,,,,,,,632980032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26499661824.0,,,,,,,,,,,,,,,,,,,,2195324928.0,,3943970560.0,,,,,284348960.0,,,91822202880.0,,109662453760.0,2963389440.0,,,,44669161472.0,,,,,,,-64990826496.0,,,,,,,,,,-8560654336.0,,,,,,,,,,,,,,,,,,,,135581376512.0,,,,,2574712832.0,112237166592.0,204059377664.0
