종목코드,회사명,업종,업종명,결산기준일,보고서종류,자산총계,유동자산,비유동자산,부채총계,유동부채,비유동부채,자본총계,이익잉여금(결손금),자본총계per자산총계,부채총계per자산총계,cluster
[095570],AJ네트웍스,763.0,산업용 기계 및 장비 임대업,2019-09-30,3분기보고서,1805733330944.0,421173854208.0,1384559411200.0,1397826781184.0,722843271168.0,674983510016.0,407906549760.0,252195602432.0,0.2258952320200873,0.7741047679799127,4
[095570],AJ네트웍스,763.0,산업용 기계 및 장비 임대업,2019-12-31,사업보고서,1803255283712.0,501055389696.0,1302199795712.0,1455914090496.0,796837085184.0,659077005312.0,347341160448.0,198771802112.0,0.19261896171073373,0.8073810201176851,4
[095570],AJ네트웍스,763.0,산업용 기계 및 장비 임대업,2020-03-31,1분기보고서,1768247656448.0,446681153536.0,1303934926848.0,1434722369536.0,735306121216.0,699416248320.0,333525385216.0,185884868608.0,0.18861915863413345,0.8113808969598891,4
[006840],AK홀딩스,649.0,기타 금융업,2017-12-31,사업보고서,2944784400384.0,1218481881088.0,1726302388224.0,1792720240640.0,1307593932800.0,485126307840.0,1152064028672.0,394101587968.0,0.3912218594073545,0.6087780960827656,0
[006840],AK홀딩스,649.0,기타 금융업,2018-12-31,사업보고서,3397931237376.0,1306700283904.0,2091230953472.0,1924033544192.0,1331030392832.0,593003216896.0,1473897693184.0,490318462976.0,0.4337632489356067,0.5662367510643933,0
[006840],AK홀딩스,649.0,기타 금융업,2019-03-31,1분기보고서,4313227198464.0,1383348568064.0,2929878630400.0,2807567745024.0,1487606382592.0,1319961362432.0,1505659322368.0,514376925184.0,0.34907952980176565,0.6509204398098514,0
[006840],AK홀딩스,649.0,기타 금융업,2019-06-30,반기보고서,4269534085120.0,1309891362816.0,2959642722304.0,2761930309632.0,1474586345472.0,1287343964160.0,1507603906560.0,517893095424.0,0.3531073593754029,0.6468926713239656,0
[006840],AK홀딩스,649.0,기타 금융업,2019-09-30,3분기보고서,4262163906560.0,1253975523328.0,3008188383232.0,2789258297344.0,1440514834432.0,1348743593984.0,1472905478144.0,518021873664.0,0.34557692065221035,0.6544230485953355,0
[006840],AK홀딩스,649.0,기타 금융업,2019-12-31,사업보고서,4327964672000.0,1327786622976.0,3000178049024.0,2898025775104.0,1565481500672.0,1332544143360.0,1429938896896.0,496483172352.0,0.33039523315591424,0.6696047668440858,0
[006840],AK홀딩스,649.0,기타 금융업,2020-03-31,1분기보고서,4166508609536.0,1186729033728.0,2979779575808.0,2857050570752.0,1521319542784.0,1335731027968.0,1309457907712.0,437425012736.0,0.3142818197267152,0.6857181488148114,0
[054620],APS홀딩스,649.0,기타 금융업,2017-12-31,사업보고서,231782973440.0,83530219520.0,148252753920.0,48506789888.0,21478412288.0,27028375552.0,183276175360.0,744178450432.0,0.7907232038657205,0.20927676079087235,2
[054620],APS홀딩스,649.0,기타 금융업,2018-12-31,사업보고서,283203895296.0,54504525824.0,228699357184.0,47614275584.0,20784119808.0,26830153728.0,235589599232.0,750734934016.0,0.8318727360221005,0.16812719166250994,7
[054620],APS홀딩스,649.0,기타 금융업,2019-03-31,1분기보고서,277452619776.0,47389646848.0,230062981120.0,45138132992.0,18965071872.0,26173061120.0,232314503168.0,748155830272.0,0.8373123431148639,0.16268771593665993,7
[054620],APS홀딩스,649.0,기타 금융업,2019-06-30,반기보고서,282808811520.0,42908909568.0,239899901952.0,53255204864.0,19816964096.0,33438240768.0,229553602560.0,746781278208.0,0.8116918328188871,0.18830815269783005,2
[054620],APS홀딩스,649.0,기타 금융업,2019-09-30,3분기보고서,283879833600.0,40633028608.0,243246809088.0,55517143040.0,36476862464.0,19040280576.0,228362698752.0,745950806016.0,0.8044343828726268,0.1955656459846537,2
[054620],APS홀딩스,649.0,기타 금융업,2019-12-31,사업보고서,297708257280.0,56460963840.0,241247272960.0,82922504192.0,43557314560.0,39365185536.0,214785736704.0,734296932352.0,0.7214638205415651,0.27853612442469106,2
[054620],APS홀딩스,649.0,기타 금융업,2020-03-31,1분기보고서,296237006848.0,50929606656.0,245307408384.0,82028838912.0,43212935168.0,38815907840.0,214208167936.0,733865967616.0,0.7230972599109158,0.2769027400890842,2
[265520],AP시스템,292.0,특수 목적용 기계 제조업,2017-12-31,사업보고서,468030717952.0,324465328128.0,143565389824.0,378541375488.0,342537437184.0,36003942400.0,89489342464.0,19285170176.0,0.19120399373696192,0.8087960062630379,4
[265520],AP시스템,292.0,특수 목적용 기계 제조업,2018-12-31,사업보고서,420986945536.0,284424732672.0,136562204672.0,314571816960.0,291103014912.0,23468789760.0,106415128576.0,38343618560.0,0.25277536442492865,0.7472246355750713,4
[265520],AP시스템,292.0,특수 목적용 기계 제조업,2019-03-31,1분기보고서,402034950144.0,268078841856.0,133956108288.0,297241608192.0,276444512256.0,20797071360.0,104793366528.0,36658089984.0,0.2606573545172263,0.7393427066117875,4
[265520],AP시스템,292.0,특수 목적용 기계 제조업,2019-06-30,반기보고서,393439805440.0,254344740864.0,139095048192.0,283014365184.0,260132405248.0,22881966080.0,110425423872.0,42278678528.0,0.2806666289103785,0.7193333294466566,4
[265520],AP시스템,292.0,특수 목적용 기계 제조업,2019-09-30,3분기보고서,420276469760.0,283736113152.0,136540340224.0,307729104896.0,288751714304.0,18977382400.0,112547364864.0,43673763840.0,0.2677936381455533,0.7322063618544468,4
[265520],AP시스템,292.0,특수 목적용 기계 제조업,2019-12-31,사업보고서,420965875712.0,252429041664.0,168536817664.0,306842992640.0,286807556096.0,20035407872.0,114122899456.0,45315932160.0,0.27109774459266656,0.7289022943273527,4
[265520],AP시스템,292.0,특수 목적용 기계 제조업,2020-03-31,1분기보고서,454781206528.0,288455688192.0,166325485568.0,333064568832.0,316122234880.0,16942333952.0,121716637696.0,52808749056.0,0.2676377914233493,0.7323622085766507,4
[027410],BGF,649.0,기타 금융업,2017-12-31,사업보고서,858118619136.0,438201253888.0,419917332480.0,132887658496.0,89036873728.0,43850780672.0,725230944256.0,4262198771712.0,0.8451406694638575,0.15485931144321102,7
[027410],BGF,649.0,기타 금융업,2018-12-31,사업보고서,1624874680320.0,315224621056.0,1309650059264.0,92660539392.0,57669533696.0,34991005696.0,1532214247424.0,650872160256.0,0.9429737972914,0.05702626824965455,7
[027410],BGF,649.0,기타 금융업,2019-03-31,1분기보고서,1640806875136.0,333012729856.0,1307794210816.0,107169431552.0,63899230208.0,43270201344.0,1533637427200.0,650940514304.0,0.9346849104791096,0.06531507953555908,7
[027410],BGF,649.0,기타 금융업,2019-06-30,반기보고서,1662491688960.0,333318356992.0,1329173364736.0,116107804672.0,64884920320.0,51222888448.0,1546383917056.0,663785504768.0,0.9301603895676416,0.06983963014253215,7
[027410],BGF,649.0,기타 금융업,2019-09-30,3분기보고서,1665667694592.0,319043141632.0,1346624552960.0,117912436736.0,64624132096.0,53288308736.0,1547755192320.0,674521284608.0,0.9292100683378612,0.07078989231695597,7
[027410],BGF,649.0,기타 금융업,2019-12-31,사업보고서,1657381453824.0,319699386368.0,1337682034688.0,129126735872.0,63739514880.0,65387220992.0,1528254693376.0,672348766208.0,0.9220898965955776,0.07791008857621269,7
[027410],BGF,649.0,기타 금융업,2020-03-31,1분기보고서,1639968669696.0,327150829568.0,1312817807360.0,136766300160.0,74108002304.0,62658301952.0,1503202377728.0,659473563648.0,0.916604326353776,0.08339567864144154,7
[282330],BGF리테일,471.0,종합 소매업,2017-12-31,사업보고서,1277349462016.0,566642671616.0,710706855936.0,888705318912.0,681364619264.0,207340732416.0,388644208640.0,28683646976.0,0.3042583256946891,0.6957417256115525,0
[282330],BGF리테일,471.0,종합 소매업,2018-12-31,사업보고서,1482568499200.0,696072339456.0,786496225280.0,960905478144.0,763691794432.0,197213716480.0,521663021056.0,160313851904.0,0.3518643633245219,0.648135636675478,0
