종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,재무상태표 [abstract],자산 [abstract],유동자산,현금및현금성자산,현금,현금성자산,정부보조금,금융자산(유동),매출채권 및 기타유동채권,매출채권,대손충당금(유동),단기미수금,공사미수금,분양미수금,대행미수금,단기미수수익,단기선급금,부가가치세대급금,단기선급비용,단기선급공사원가,단기공사유보금,단기미청구공사,유동계약자산,당기법인세자산,재고자산,원재료,재고자산평가충당금,시험재료,상품,소모품,재공품,제품,반제품,저장품,미착품,부산물,완성주택,용지,기타재고,유동확정계약자산,유동생물자산,기타유동자산,유동배출권,양수자가 계약이나 관행에 따라 담보물을 매도하거나 다시 담보로 제공할 권리를 가지고 있는 유동 비현금담보물,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,비유동자산,금융자산(비유동),장기매출채권 및 기타비유동채권,장기매출채권,현재가치할인차금,대손충당금(비유동),장기미수금,장기공사미수금,장기분양미수금,장기대행미수금,장기미수수익,장기선급금,장기선급비용,장기미청구공사,비유동계약자산,장기공사유보금,유형자산,토지,건물,건물부대설비,시설물,구축물,기계장치,차량운반구,공급설비,전산장비/전산설비,공구와기구,사용권자산,임차구축물,집기,사무용비품,유형탐사평가자산,건설중인자산,렌탈자산,선박,기타유형자산,영업권,영업권 이외의 무형자산,브랜드명,무형탐사평가자산,제호와 출판표제,컴퓨터소프트웨어,라이선스와 프랜차이즈,"저작권, 특허권, 기타 산업재산권, 용역운영권","조리법, 공식, 모형, 설계 및 시제품",실용신안권,전신전화가입권,완성프로그램,미완성프로그램,사용수익기부자산,전산자동화개발,차지권,채굴권,토지사용권,개발 중인 무형자산,비유동배출권,기타무형자산,비유동확정계약자산,퇴직급여운용자산/퇴직연금운용자산,퇴직보험예치금,비유동생물자산,이연법인세자산,양수자가 계약이나 관행에 따라 담보물을 매도하거나 다시 담보로 제공할 권리를 가지고 있는 비유동 비현금담보물,기타비유동자산,자산총계,부채 [abstract],유동부채,매입채무 및 기타유동채무,단기매입채무,단기초과청구공사,유동계약부채,단기미지급금,미지급배당금,단기미지급비용,금융부채(유동),단기기타보증금,단기예수금,추심예수금,부가가치세예수금,단기예수보증금,단기선수금,공사선수금,분양선수금,단기이연수익,단기선수수익,단기선수임대료,유동성장기미지급금,미지급법인세,당기법인세부채,유동확정계약부채,유동충당부채,유동종업원급여충당부채,유동판매보증충당부채,유동하자보수충당부채,유동반품충당부채,유동공사손실충당부채,단기제품보증충당부채,단기구조조정충당부채,단기법적소송충당부채,단기손실부담계약충당부채,"단기 사후처리, 복구, 정화 비용을 위한 충당부채",그 밖의 기타단기충당부채,매각예정으로 분류된 처분자산집단에 포함된 부채,기타유동부채,유동배출부채,비유동부채,장기매입채무 및 기타비유동채무,장기매입채무,장기초과청구공사,비유동계약부채,장기미지급금,장기미지급비용,금융부채(비유동),장기기타보증금,장기예수금,장기예수보증금,장기선수금,장기공사선수금,장기이연수익,장기선수수익,장기선수임대료,비유동확정계약부채,비유동충당부채,비유동종업원급여충당부채,비유동반품충당부채,비유동하자보수충당부채,비유동판매보증충당부채,비유동공사손실충당부채,장기제품보증충당부채,장기구조조정충당부채,장기법적소송충당부채,장기손실부담계약충당부채,"장기 사후처리, 복구, 정화 비용을 위한 충당부채",그 밖의 기타장기충당부채,퇴직급여부채,확정급여채무의현재가치,사외적립자산의공정가치,퇴직급여운용자산/퇴직연금운용자산(부채),퇴직보험예치금(부채),이연법인세부채,기타비유동부채,비유동배출부채,부채총계,자본 [abstract],이익잉여금(결손금),자본총계,자본과부채총계
[035760],CJ ENM,코스닥시장상장법인,602.0,텔레비전 방송업,12.0,2019-12-31,사업보고서,KRW,,,1670976897024.0,269792460800.0,,,,163012982688.0,,835386212352.0,0.0,,,,,,233577398272.0,,,,,,,2424543488.0,120547196928.0,,0.0,,,,,,,,,,,,,,,46236131328.0,,,,3758793949184.0,1583797458944.0,,20986865664.0,0.0,0.0,,,,,,,,,,,947675136000.0,,,,,,,,,,,,,,,,,,,,,1037887275008.0,,,,,,,,,,,,,,,,,,,,,,,,35639685120.0,,132807581696.0,5434907820032.0,,1659291828224.0,269451198464.0,,,46798893056.0,287778963456.0,,,774888923136.0,,,,,,,,,,,,,,99270950912.0,,1162705536.0,,,,,,,,,,,,,179940229120.0,,622405943296.0,,,,,,,391777171456.0,,,,,,,,,,1045031296.0,,,,,,,,,,,,,,,,,187349811200.0,1215892736.0,,2283014193152.0,,1145526943744.0,3151893364736.0,5434907820032.0
[000120],CJ대한통운,유가증권시장상장법인,493.0,도로 화물 운송업,12.0,2019-12-31,사업보고서,KRW,,,2322199216128.0,220910010368.0,,,,213806450560.0,,1377217806336.0,0.0,,,,,,,,,,,,292023369728.0,8128755200.0,22859292672.0,,0.0,,,,,,,,,,,,,,,186788495360.0,,,465108704.0,6787816751104.0,238016567936.0,,42366763008.0,0.0,0.0,,,,,,,,,,,3518957879296.0,,,,,,,,,,,1081598803968.0,,,,,,,,,,1673341173760.0,,,,,,,,,,,,,,,,,,,,,,,,55291187200.0,,178244485120.0,9110015705088.0,,2508694224896.0,867577364480.0,,,46883495936.0,,,,1403489943552.0,,,,,,,,,,,,,,51866071040.0,,,,,,,,,,,,,,,138877370368.0,,2946076508160.0,,,,111229657088.0,,,2602031677440.0,,,,,,,,,,,,,,,,,,,,,,135727456256.0,,,,,20400781312.0,76686925824.0,,5454770995200.0,,612147920896.0,3655245234176.0,9110015705088.0
[097950],CJ제일제당,유가증권시장상장법인,107.0,기타 식품 제조업,12.0,2019-12-31,사업보고서,KRW,,,7433652011008.0,690951618560.0,,,,1348041711616.0,2817784283136.0,2451038011392.0,0.0,,,,,,,,,,,,327271055360.0,,2018257010688.0,,0.0,,,,,,,,,,,,,,125453959168.0,472638717952.0,,,,18337593556992.0,727132274688.0,,,0.0,0.0,,,,,,,,,,,10817875476480.0,,,,,,,,,,,1705030451200.0,,,,,,,,,,4810224435200.0,,,,,,,,,,,,,,,,,,,,,,,,38054305792.0,,239276015616.0,26280632254464.0,,8202238296064.0,6358987964416.0,1929949216768.0,,46390661120.0,1090549907456.0,,,3801166807040.0,,,,,,,,,,,,,121217015808.0,,,81514168320.0,,,,,,,,,,,,,1131450335232.0,,8596913913856.0,6864651157504.0,,,111229657088.0,,,7168798162944.0,,,,,,,,,,,,,,,,,,,,,,217333645312.0,,,,,948476248064.0,151076192256.0,,16799152209920.0,,3786365730816.0,9481480044544.0,26280632254464.0
[051500],CJ프레시웨이,코스닥시장상장법인,463.0,음ㆍ식료품 및 담배 도매업,12.0,2019-12-31,사업보고서,KRW,,,495835316224.0,21255876608.0,,,,21006949216.0,,251421016064.0,0.0,,,,,,,,,,,,,,191367413760.0,,0.0,,,,,,,,,,,,,,,10784062464.0,,,,685827817472.0,125894215214.0,,,0.0,0.0,,,,,,,,,,,345987055616.0,,,,,,,,,,,93403045888.0,,,,,,,,,,108728754176.0,,,,,,,,,,,,,,,,,,,,,,,,9514312704.0,,2300447232.0,1181663100928.0,,580356210688.0,260734042112.0,,,,51660472320.0,,,225156107904.0,,,,,,,,,,,,,,7953894400.0,,,,,,,,,,,,,,,34851713024.0,,312173494272.0,,,,,,,278951051264.0,,,,,,,,,,,,,,,,,,,,,,28963377152.0,,,,,2887503872.0,1371580672.0,,892529737728.0,,37127995392.0,289133428736.0,1181663100928.0
[058820],CMG제약,코스닥시장상장법인,212.0,의약품 제조업,12.0,2019-12-31,사업보고서,KRW,,,150584066048.0,18570592256.0,,,,101343821824.0,20820514816.0,,0.0,,,,,,,,,,,,,51839624.0,9048932352.0,,0.0,,,,,,,,,,,,,,,748362624.0,,,,41659101184.0,4458766336.0,,,0.0,0.0,,,,,,,,,,,24119402496.0,,,,,,,,,,,,,,,,,,,,,11075003392.0,,,,,,,,,,,,,,,,,,,,,,,,2005927808.0,,,192243171328.0,,9306386432.0,7963636224.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342750592.0,,2778496512.0,,,,,,,1721853696.0,,,,,,,,,,,,,,,,,,,,,,1056642816.0,,,,,,,,12084883456.0,,5054709248.0,180158283776.0,192243171328.0
[023460],CNH,코스닥시장상장법인,642.0,신탁업 및 집합투자업,12.0,2019-12-31,사업보고서,KRW,,,150622076928.0,34893676544.0,,,,225943962272.0,4137332224.0,4070585856.0,0.0,,,,,,,,,,,,,0.0,20828805120.0,,0.0,,,,,,,,,,,,,,,6599847424.0,,,,126537629696.0,101401819952.0,11642264576.0,,0.0,0.0,,,,,,,,,,,16997529600.0,,,,,,,,,,,14289004544.0,,,,,,17326385152.0,,,,,,,,,,,,,,,,,,,,,,,7214743040.0,,,,,0.0,,0.0,465345970176.0,,46564958208.0,23863980032.0,,,,,,,459088338944.0,,,,,,,,,,,,,,2088457984.0,,,,,,,,,,,,,,,20612521984.0,,67031953408.0,51324420096.0,,,,,,24813260800.0,,,,,,,,,,,,,,,,,,,,,,7474887168.0,,,,,943237120.0,7289409536.0,,355547709440.0,,30439786496.0,109798252544.0,465345970176.0
[065770],CS,코스닥시장상장법인,264.0,통신 및 방송 장비 제조업,12.0,2019-12-31,사업보고서,KRW,,,21834551296.0,1009442240.0,,,,13143682048.0,266761344.0,3354545920.0,0.0,186555216.0,,,,,,,,,,,,42575088.0,3734193664.0,,0.0,,,,,,,,,,,,,,,96796584.0,,,0.0,5354381312.0,71592216.0,,,0.0,0.0,,,,,,0.0,,,,,2645813760.0,,,,,,,,,,,224895360.0,,,,,,,,,,1863598336.0,,,,,,,,,,,,,,,,,,,,,,,,397278016.0,,,27188932608.0,,4737880064.0,2639407872.0,,,,391210912.0,,483462240.0,144329152.0,,6854379.0,,,,996944192.0,,,,,,,2585296.0,,,73085928.0,,,,,,,,,,,,,,,691173888.0,,,,,43385320.0,,82608008.0,,,,,,,,,,,565180544.0,,,,,,,,,,,,,,,,,,,5429053952.0,,-15764679680.0,21759879168.0,27188932608.0
[083660],CSA 코스믹,코스닥시장상장법인,222.0,플라스틱제품 제조업,12.0,2019-12-31,사업보고서,KRW,,,23908845568.0,3938250752.0,,,,,9655572480.0,,0.0,,,,,,,,,,,,,6451560.0,9982759936.0,,0.0,,,,,,,,,,,,,,,,,,,9296660480.0,822025440.0,2110429568.0,,0.0,0.0,,,,,,,,,,,6265829376.0,,,,,,,,,,,,,,,,,,,,,98376312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,33205506048.0,,13725853696.0,10270577664.0,,,,,,,3467886208.0,,,,,,,,,,,,,,-12609272.0,,,,,,,,,,,,,,,,,2967932672.0,,,,,,,2967932676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16693786624.0,,-34852081664.0,16511718400.0,33205506048.0
[000590],CS홀딩스,유가증권시장상장법인,649.0,기타 금융업,12.0,2019-12-31,사업보고서,KRW,,,194780332032.0,102833356800.0,,,,42241110016.0,2543711744.0,18285934592.0,0.0,,,,,,,,,,,,,397092.0,28260704256.0,,0.0,,,,,,,,,,,,,,,615111296.0,,,,119511187456.0,50693719296.0,1363794048.0,,0.0,0.0,,,,,,,,,,,40379637760.0,,,,,,,,,,,749717312.0,,,,,,,,,,26244413440.0,,,,,,,,,,,,,,,,,,,,,,,,35171644.0,,44731548.0,314291519488.0,,19134828544.0,7421774848.0,7251171328.0,,,,,,2383361952.0,,,,,,,,,,,,,,1750267392.0,,,,,,,,,,,,,,,328252000.0,,9003971584.0,671000000.0,,,,,,94132848.0,,,,,,,,,,,,,,,,,,,,,,1105686144.0,,,,,7133152768.0,,,28138799104.0,,178120409088.0,286152720384.0,314291519488.0
[012030],DB,유가증권시장상장법인,620.0,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",12.0,2019-12-31,사업보고서,KRW,,,83915481088.0,24369948672.0,,,,8304262144.0,35550953472.0,,0.0,,,,,,,,,,,425482176.0,,0.0,7259676672.0,,0.0,,,,,,,,,,,,,,,8005158400.0,,,,279242637312.0,167568192512.0,3455583744.0,,0.0,0.0,,,,,,,,,,,2060705792.0,,,,,,,,,,,11575113728.0,,,,,,,,,,84273930240.0,,,,,,,,,,,,,,,,,,,,,,,,10309132288.0,,,363158142976.0,,59208482816.0,16648344576.0,,2409294080.0,,,,,21351698688.0,,,,,,,,,,,,,,2666545920.0,,,,,,,,,,,,,,,16132600832.0,,92958441472.0,,,,,,,76541417472.0,,,,,,,,,,,,,,,,,,,,,,,12578185216.0,,,,3497999872.0,340837248.0,,152166924288.0,,48111251456.0,210991202304.0,363158142976.0
[000990],DB하이텍,유가증권시장상장법인,261.0,반도체 제조업,12.0,2019-12-31,사업보고서,KRW,,,426263412736.0,84776804352.0,,,,71506917376.0,17610268672.0,102020669440.0,0.0,,,,,,,,,,,91625783296.0,,,51837841408.0,,0.0,,,,,,,,,,,,,,,6885134336.0,,,,662626369536.0,11868602248.0,1369251584.0,,0.0,0.0,,,,,,,,,,,616573829120.0,,,,,,,,,,,,,,,,,,,,,23416825856.0,,,,,,,,,,,,,,,,,,,,,,,,8157272064.0,,1240637440.0,1088889815040.0,,219715551232.0,59292200960.0,30645243904.0,,,,,,64731860992.0,,,,,,,,,,,,,,24269905920.0,,5404113408.0,,,,,,,,,,,,,35372232704.0,,224523517952.0,2876092928.0,,,,,,191074372608.0,,,,,,,,,,800500608.0,,,,,,,,,,,,29772554240.0,,,,,,,,444239085568.0,,375643537408.0,644650762240.0,1088889815040.0
[068790],DMS,코스닥시장상장법인,292.0,특수 목적용 기계 제조업,12.0,2019-12-31,사업보고서,KRW,,,134517301248.0,10720096256.0,,,,3905164032.0,26620303360.0,,0.0,,,,,,,,,,,0.0,73088761856.0,0.0,14498465792.0,,0.0,,,,,,,,,,,,,,,5684505088.0,,,,167997325312.0,62543878176.0,,,0.0,0.0,,,,,,,,0.0,,,40372781056.0,,,,,,,,,,,,,,,,,,,,,2542235904.0,,,,,,,,,,,,,,,,,,,,,,,,11748496384.0,,1465806592.0,302514634752.0,,135345963008.0,32096890880.0,,0.0,3014337536.0,,,,87793602304.0,,,,,,,,,,,,,,1945148928.0,,9966822400.0,,,,,,,,,,,,,529162720.0,,1162986624.0,,,,,,,600000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,138272704.0,,136508948480.0,,105892241408.0,166005669888.0,302514634752.0
