업종명1,업종,업종명2
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",272,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
작물 재배업,11,작물 재배업
"구조용 금속제품, 탱크 및 증기발생기 제조업",251,"구조용 금속제품, 탱크 및 증기발생기 제조업"
자동차 부품 및 내장품 판매업,452,자동차 부품 및 내장품 판매업
"서적, 잡지 및 기타 인쇄물 출판업",581,"서적, 잡지 및 기타 인쇄물 출판업"
초등 교육기관,851,초등 교육기관
금속 주조업,243,금속 주조업
도자기 및 기타 요업제품 제조업,232,도자기 및 기타 요업제품 제조업
"내화, 비내화 요업제품 제조업",232,도자기 및 기타 요업제품 제조업
"시멘트, 석회, 플라스터 및 그 제품 제조업",233,"시멘트, 석회, 플라스터 및 그 제품 제조업"
연료 소매업,477,연료 소매업
선박 및 보트 건조업,311,선박 및 보트 건조업
동물용 사료 및 조제식품 제조업,108,동물용 사료 및 조제식품 제조업
직물직조 및 직물제품 제조업,132,직물직조 및 직물제품 제조업
정기 항공 운송업,511,정기 항공 운송업
항공 여객 운송업,511,정기 항공 운송업
자동차 판매업,451,자동차 판매업
"건축기술, 엔지니어링 및 관련기술 서비스업",721,"건축기술, 엔지니어링 및 관련기술 서비스업"
"건축기술, 엔지니어링 및 관련 기술 서비스업",721,"건축기술, 엔지니어링 및 관련기술 서비스업"
기타 비금속 광물제품 제조업,239,기타 비금속 광물제품 제조업
기반조성 및 시설물 축조관련 전문공사업,421,기반조성 및 시설물 축조관련 전문공사업
육상 여객 운송업,492,육상 여객 운송업
"도축, 육류 가공 및 저장 처리업",101,"도축, 육류 가공 및 저장 처리업"
기타 비금속광물 광업,72,기타 비금속광물 광업
어로 어업,31,어로 어업
나무제품 제조업,162,나무제품 제조업
가구 제조업,320,가구 제조업
컴퓨터 및 주변장치 제조업,263,컴퓨터 및 주변장치 제조업
일반 교습 학원,855,일반 교습 학원
기타 과학기술 서비스업,729,기타 과학기술 서비스업
여행사 및 기타 여행보조 서비스업,752,여행사 및 기타 여행보조 서비스업
귀금속 및 장신용품 제조업,331,귀금속 및 장신용품 제조업
기록매체 복제업,182,기록매체 복제업
그외 기타 제품 제조업,339,그외 기타 제품 제조업
그 외 기타 제품 제조업,339,그외 기타 제품 제조업
정보통신장비 소매업,473,정보통신장비 소매업
가전제품 및 정보통신장비 소매업,473,정보통신장비 소매업
"섬유, 의복, 신발 및 가죽제품 소매업",474,"섬유, 의복, 신발 및 가죽제품 소매업"
"그외 기타 전문, 과학 및 기술 서비스업",739,"그외 기타 전문, 과학 및 기술 서비스업"
"그 외 기타 전문, 과학 및 기술 서비스업",739,"그외 기타 전문, 과학 및 기술 서비스업"
기타 전기장비 제조업,289,기타 전기장비 제조업
기타 교육기관,856,기타 교육기관
음식점업,561,음식점업
토사석 광업,71,토사석 광업
일차전지 및 축전지 제조업,282,일차전지 및 축전지 제조업
