,회사명,결산기준일,자산총계,자본총계,부채총계
168,DSR,2019-12-31,240410411008.0,155336114176.0,85074296832.0
169,DSR,2020-03-31,238187184128.0,157358129152.0,80829063168.0
170,E1,2017-12-31,3460084269056.0,1251031908352.0,2209052360704.0
171,E1,2018-12-31,3565388824576.0,1315901538304.0,2249487548416.0
172,E1,2019-03-31,3812561780736.0,1313621540864.0,2498940370944.0
173,E1,2019-06-30,3778291171328.0,1238242820096.0,2540048482304.0
174,E1,2019-09-30,3757738033152.0,1188770480128.0,2568967421952.0
175,E1,2019-12-31,3594979115008.0,1203288801280.0,2391690444800.0
176,E1,2020-03-31,3931354693632.0,1222735822848.0,2708618870784.0
177,EDGC,2017-12-31,13745691648.0,10759248896.0,2986443264.0
178,EDGC,2018-12-31,75102068736.0,51503443968.0,23598626816.0
179,EDGC,2019-03-31,77005504512.0,51294781440.0,25710718976.0
180,EDGC,2019-06-30,77201686528.0,49287954432.0,27913736192.0
181,EDGC,2019-09-30,94795497472.0,50469310464.0,44326191104.0
182,EDGC,2019-12-31,96400080896.0,47811538944.0,48588546048.0
183,EDGC,2020-03-31,94519066624.0,45220454400.0,49298608128.0
184,EG,2017-12-31,97419943936.0,51713875968.0,45706072064.0
185,EG,2018-12-31,73329311744.0,34213679104.0,39115636736.0
186,EG,2019-03-31,72238661632.0,33726590976.0,38512070656.0
187,EG,2019-06-30,76162613248.0,33631098880.0,42531516416.0
188,EG,2019-09-30,73969164288.0,33398102016.0,40571056128.0
189,EG,2019-12-31,77199024128.0,33567621120.0,43631398912.0
190,EG,2020-03-31,87598112768.0,33755695104.0,53842415616.0
191,EMW,2017-12-31,97196433408.0,41411362816.0,55785066496.0
192,EMW,2018-12-31,85352022016.0,25624055808.0,59727966208.0
193,EMW,2019-03-31,88113496064.0,29397749760.0,58715746304.0
194,EMW,2019-06-30,70397345792.0,34407079936.0,35990261760.0
195,EMW,2019-09-30,68054147072.0,34241050624.0,33813098496.0
196,EMW,2019-12-31,50399285248.0,30548731904.0,19850553344.0
197,EMW,2020-03-31,49595523072.0,30458843136.0,19136679936.0
198,F&F,2017-12-31,400094855168.0,295955398656.0,104139440128.0
199,F&F,2018-12-31,495832727552.0,394790404096.0,101042339840.0
200,F&F,2019-03-31,527084584960.0,395549736960.0,131534823424.0
201,F&F,2019-06-30,560901062656.0,417744453632.0,143156625408.0
202,F&F,2019-09-30,628495351808.0,441001574400.0,187493761024.0
203,F&F,2019-12-31,684437143552.0,483731963904.0,200705196032.0
204,F&F,2020-03-31,628028276736.0,481170718720.0,146857525248.0
205,GH신소재,2017-12-31,60704296960.0,46803652608.0,13900641280.0
206,GH신소재,2018-12-31,79726813184.0,39813644288.0,39913168896.0
207,GH신소재,2019-03-31,85901860864.0,40482213888.0,45419642880.0
208,GH신소재,2019-06-30,83885088768.0,41245818880.0,42639269888.0
209,GH신소재,2019-09-30,81931345920.0,42503409664.0,39427936256.0
210,GH신소재,2019-12-31,80228016128.0,42894368768.0,37333647360.0
211,GH신소재,2020-03-31,83432235008.0,43760029696.0,39672209408.0
212,GKL,2017-12-31,731904278528.0,532052443136.0,199851868160.0
213,GKL,2018-12-31,765759324160.0,562086543360.0,203672780800.0
214,GKL,2019-03-31,898213019648.0,530732023808.0,367480963072.0
215,GKL,2019-06-30,870471958528.0,550783287296.0,319688638464.0
216,GKL,2019-09-30,859593965568.0,568030593024.0,291563372544.0
217,GKL,2019-12-31,909430554624.0,585172385792.0,324258168832.0
218,GKL,2020-03-31,912972120064.0,567168598016.0,345803522048.0
219,GRT,2017-06-30,2192229888.0,1737445888.0,454783936.0
220,GRT,2018-06-30,2438945024.0,2021757440.0,417187648.0
221,GRT,2019-03-31,3902396416.0,3478033920.0,424362528.0
222,GRT,2019-06-30,3449742592.0,3017055232.0,432687200.0
223,GRT,2019-09-30,3596655104.0,3120138752.0,476516256.0
224,GRT,2019-12-31,3660519168.0,3214930688.0,445588512.0
225,GS,2017-12-31,22003689979904.0,9662623645696.0,12341065285632.0
226,GS,2018-12-31,22630977503232.0,10524985131008.0,12105993420800.0
227,GS,2019-03-31,24227228942336.0,10558521737216.0,13668706156544.0
228,GS,2019-06-30,24558228733952.0,10804377157632.0,13753850527744.0
229,GS,2019-09-30,24443380301824.0,11099692859392.0,13343688491008.0
230,GS,2019-12-31,24739275866112.0,10999547559936.0,13739728306176.0
231,GS,2020-03-31,24470546808832.0,10543606792192.0,13926938968064.0
232,GST,2017-12-31,102400671744.0,78275559424.0,24125110272.0
233,GST,2018-12-31,105027403776.0,85807824896.0,19219582976.0
234,GST,2019-03-31,105746628608.0,85160198144.0,20586430464.0
235,GST,2019-06-30,112168140800.0,89207570432.0,22960572416.0
236,GST,2019-09-30,132103217152.0,97732198400.0,34371018752.0
237,GST,2019-12-31,136751562752.0,103310696448.0,33440860160.0
238,GST,2020-03-31,142279049216.0,108148506624.0,34130546688.0
239,GS건설,2017-12-31,13696615055360.0,3239715274752.0,10456898994176.0
240,GS건설,2018-12-31,12033275723776.0,3624685797376.0,8408589664256.0
241,GS건설,2019-03-31,12932418109440.0,3717316214784.0,9215101894656.0
242,GS건설,2019-06-30,12940142968832.0,3877166907392.0,9062976585728.0
243,GS건설,2019-09-30,13624802279424.0,4071783661568.0,9553018093568.0
244,GS건설,2019-12-31,13171206127616.0,4143027322880.0,9028178542592.0
245,GS건설,2020-03-31,14131364102144.0,4139433328640.0,9991929987072.0
246,GS글로벌,2017-12-31,1397854568448.0,387668901888.0,1010185601024.0
247,GS글로벌,2018-12-31,1336006541312.0,403094929408.0,932911579136.0
248,GS글로벌,2019-03-31,1369882099712.0,411294367744.0,958587797504.0
249,GS글로벌,2019-06-30,1331892322304.0,410699825152.0,921192562688.0
250,GS글로벌,2019-09-30,1286990856192.0,414675730432.0,872315158528.0
251,GS글로벌,2019-12-31,1205244919808.0,379923791872.0,825321062400.0
252,GS글로벌,2020-03-31,1283935830016.0,383637061632.0,900298833920.0
253,GS리테일,2017-12-31,5092274077696.0,2393344049152.0,2698930290688.0
254,GS리테일,2018-12-31,5098880106496.0,2458348683264.0,2640531685376.0
255,GS리테일,2019-03-31,6781779050496.0,2437359337472.0,4344419713024.0
256,GS리테일,2019-06-30,6806688497664.0,2494086774784.0,4312601722880.0
257,GS리테일,2019-09-30,6844723494912.0,2559913230336.0,4284810264576.0
258,GS리테일,2019-12-31,7054847639552.0,2550840950784.0,4504006688768.0
259,GS리테일,2020-03-31,7100350070784.0,2535768457216.0,4564581351424.0
260,GS홈쇼핑,2017-12-31,1425154375680.0,1063875510272.0,361278898176.0
261,GS홈쇼핑,2018-12-31,1393130864640.0,1089169719296.0,303961112576.0
262,GS홈쇼핑,2019-03-31,1436712828928.0,1077792473088.0,358920323072.0
263,GS홈쇼핑,2019-06-30,1426030198784.0,1101889667072.0,324140498944.0
264,GS홈쇼핑,2019-09-30,1416829075456.0,1124913905664.0,291915268096.0
265,GS홈쇼핑,2019-12-31,1446961610752.0,1147196538880.0,299764973568.0
266,GS홈쇼핑,2020-03-31,1468065513472.0,1140796030976.0,327269515264.0
267,GV,2017-12-31,109637025792.0,44857675776.0,64779350016.0
268,GV,2018-12-31,102612705280.0,49827299328.0,52785405952.0
269,GV,2019-03-31,132452360192.0,47659089920.0,84793270272.0
270,GV,2019-06-30,122348765184.0,46488170496.0,75860598784.0
271,GV,2019-09-30,122090569728.0,55491870720.0,66598699008.0
272,GV,2019-12-31,102849216512.0,31029270528.0,71819943936.0
273,GV,2020-03-31,108762423296.0,47291031552.0,61471391744.0
274,HB테크놀러지,2017-12-31,200161640448.0,156097413120.0,44064227328.0
275,HB테크놀러지,2018-12-31,246035431424.0,174552383488.0,71483039744.0
276,HB테크놀러지,2019-03-31,256596803584.0,179312197632.0,77284605952.0
277,HB테크놀러지,2019-06-30,253235249152.0,173199343616.0,80035897344.0
278,HB테크놀러지,2019-09-30,271944024064.0,178616614912.0,93327400960.0
279,HB테크놀러지,2019-12-31,286110810112.0,185301270528.0,100809547776.0
280,HB테크놀러지,2020-03-31,280965382144.0,187131740160.0,93833641984.0
281,HDC,2017-12-31,6539447369728.0,2962479120384.0,3576968249344.0
282,HDC,2018-12-31,3409742135296.0,2113418297344.0,1296323969024.0
283,HDC,2019-03-31,3900495888384.0,2164917665792.0,1735578091520.0
284,HDC,2019-06-30,3897254477824.0,2228926283776.0,1668328062976.0
285,HDC,2019-09-30,3988876165120.0,2310982074368.0,1677894221824.0
286,HDC,2019-12-31,4208951033856.0,2358538141696.0,1850413023232.0
287,HDC,2020-03-31,8904544092160.0,4189593534464.0,4714950819840.0
288,HDC아이콘트롤스,2017-12-31,275908820992.0,196750950400.0,79157870592.0
289,HDC아이콘트롤스,2018-12-31,290040643584.0,207625895936.0,82414739456.0
290,HDC아이콘트롤스,2019-03-31,283198226432.0,209040588800.0,74157637632.0
