,종목코드,회사명,업종,업종명,결산기준일,보고서종류,자산총계,유동자산,비유동자산,부채총계,유동부채,비유동부채,자본총계,이익잉여금(결손금),유동자산per자산총계,비유동자산per자산총계,유동부채per자산총계,비유동부채per자산총계,부채총계per자산총계,이익잉여금(결손금)per자산총계,자본총계per자산총계,cluster
15,[006840],AK홀딩스,649.0,기타 금융업,2019-03-31,1분기보고서,4313227198464.0,1383348568064.0,2929878630400.0,2807567745024.0,1487606382592.0,1319961362432.0,1505659322368.0,514376925184.0,0.3207223975024153,0.6792776024975847,0.3448940466483558,0.30602639316149555,0.6509204398098514,0.11925569915889818,0.34907952980176565,0
16,[006840],AK홀딩스,649.0,기타 금융업,2019-06-30,반기보고서,4269534085120.0,1309891362816.0,2959642722304.0,2761930309632.0,1474586345472.0,1287343964160.0,1507603906560.0,517893095424.0,0.30679960311856463,0.6932003968814353,0.3453740656647211,0.3015186056592444,0.6468926713239656,0.12129967464809314,0.3531073593754029,0
17,[006840],AK홀딩스,649.0,기타 금융업,2019-09-30,3분기보고서,4262163906560.0,1253975523328.0,3008188383232.0,2789258297344.0,1440514834432.0,1348743593984.0,1472905478144.0,518021873664.0,0.2942110042736685,0.7057889957263315,0.33797734343694963,0.31644573591084,0.6544230485953355,0.12153964160474914,0.34557692065221035,0
18,[006840],AK홀딩스,649.0,기타 금융업,2019-12-31,사업보고서,4327964672000.0,1327786622976.0,3000178049024.0,2898025775104.0,1565481500672.0,1332544143360.0,1429938896896.0,496483172352.0,0.3067923894033117,0.6932076105966883,0.3617130959501511,0.30789164060902946,0.6696047668440858,0.1147151628949341,0.33039523315591424,0
19,[006840],AK홀딩스,649.0,기타 금융업,2020-03-31,1분기보고서,4166508609536.0,1186729033728.0,2979779575808.0,2857050570752.0,1521319542784.0,1335731027968.0,1309457907712.0,437425012736.0,0.28482577259336544,0.7151742274066345,0.3651305410247119,0.3205876077900995,0.6857181488148114,0.10498598556471324,0.3142818197267152,0
20,[054620],APS홀딩스,649.0,기타 금융업,2017-12-31,사업보고서,231782973440.0,83530219520.0,148252753920.0,48506789888.0,21478412288.0,27028375552.0,183276175360.0,744178450432.0,0.3603811715773975,0.6396188284226025,0.09266604862828702,0.11661070332673355,0.20927676079087235,3.2106691850022373,0.7907232038657205,2
21,[054620],APS홀딩스,649.0,기타 금융업,2018-12-31,사업보고서,283203895296.0,54504525824.0,228699357184.0,47614275584.0,20784119808.0,26830153728.0,235589599232.0,750734934016.0,0.1924568366795689,0.8075431199311974,0.07338924412136627,0.09473794030960477,0.16812719166250994,2.6508637292271153,0.8318727360221005,2
22,[054620],APS홀딩스,649.0,기타 금융업,2019-03-31,1분기보고서,277452619776.0,47389646848.0,230062981120.0,45138132992.0,18965071872.0,26173061120.0,232314503168.0,748155830272.0,0.1708026649244105,0.8291973646013514,0.06835427211792543,0.0943334438187345,0.16268771593665993,2.6965174481899643,0.8373123431148639,2
23,[054620],APS홀딩스,649.0,기타 금융업,2019-06-30,반기보고서,282808811520.0,42908909568.0,239899901952.0,53255204864.0,19816964096.0,33438240768.0,229553602560.0,746781278208.0,0.15172408998637413,0.8482759100136259,0.07007194715571499,0.11823620554211507,0.18830815269783005,2.640587024832457,0.8116918328188871,2
24,[054620],APS홀딩스,649.0,기타 금융업,2019-09-30,3분기보고서,283879833600.0,40633028608.0,243246809088.0,55517143040.0,36476862464.0,19040280576.0,228362698752.0,745950806016.0,0.14313460767084232,0.8568654067577981,0.1284940251000626,0.06707162088459108,0.1955656459846537,2.6276991801646603,0.8044343828726268,2
25,[054620],APS홀딩스,649.0,기타 금융업,2019-12-31,사업보고서,297708257280.0,56460963840.0,241247272960.0,82922504192.0,43557314560.0,39365185536.0,214785736704.0,734296932352.0,0.1896519913685076,0.8103479398393125,0.1463087216927059,0.13222738897354913,0.27853612442469106,2.4664983734776977,0.7214638205415651,2
26,[054620],APS홀딩스,649.0,기타 금융업,2020-03-31,1분기보고서,296237006848.0,50929606656.0,245307408384.0,82028838912.0,43212935168.0,38815907840.0,214208167936.0,733865967616.0,0.17192182434563996,0.8280782033078936,0.14587284562381725,0.1310299082920337,0.2769027400890842,2.4772933517808213,0.7230972599109158,2
27,[265520],AP시스템,292.0,특수 목적용 기계 제조업,2017-12-31,사업보고서,468030717952.0,324465328128.0,143565389824.0,378541375488.0,342537437184.0,36003942400.0,89489342464.0,19285170176.0,0.6932564801468358,0.30674351985316417,0.7318695633544501,0.07692645166015037,0.8087960062630379,0.041204924028037486,0.19120399373696192,3
28,[265520],AP시스템,292.0,특수 목적용 기계 제조업,2018-12-31,사업보고서,420986945536.0,284424732672.0,136562204672.0,314571816960.0,291103014912.0,23468789760.0,106415128576.0,38343618560.0,0.6756141388419321,0.32438584169903223,0.6914775339206019,0.05574707246591594,0.7472246355750713,0.09108030300365004,0.25277536442492865,3
29,[265520],AP시스템,292.0,특수 목적용 기계 제조업,2019-03-31,1분기보고서,402034950144.0,268078841856.0,133956108288.0,297241608192.0,276444512256.0,20797071360.0,104793366528.0,36658089984.0,0.6668048182377679,0.3331951817622321,0.6876131345222193,0.051729510960554434,0.7393427066117875,0.09118135120061052,0.2606573545172263,3
30,[265520],AP시스템,292.0,특수 목적용 기계 제조업,2019-06-30,반기보고서,393439805440.0,254344740864.0,139095048192.0,283014365184.0,260132405248.0,22881966080.0,110425423872.0,42278678528.0,0.6464641791380406,0.3535357792189945,0.6611745981245675,0.058158746938201014,0.7193333294466566,0.10745907745841324,0.2806666289103785,3
31,[265520],AP시스템,292.0,특수 목적용 기계 제조업,2019-09-30,3분기보고서,420276469760.0,283736113152.0,136540340224.0,307729104896.0,288751714304.0,18977382400.0,112547364864.0,43673763840.0,0.6751177702478283,0.32488219076830954,0.6870518220277534,0.04515452033476222,0.7322063618544468,0.10391674762315392,0.2677936381455533,3
32,[265520],AP시스템,292.0,특수 목적용 기계 제조업,2019-12-31,사업보고서,420965875712.0,252429041664.0,168536817664.0,306842992640.0,286807556096.0,20035407872.0,114122899456.0,45315932160.0,0.5996425274068938,0.40035743367308696,0.6813083260273969,0.04759390018992191,0.7289022943273527,0.10764751913288688,0.27109774459266656,3
33,[265520],AP시스템,292.0,특수 목적용 기계 제조업,2020-03-31,1분기보고서,454781206528.0,288455688192.0,166325485568.0,333064568832.0,316122234880.0,16942333952.0,121716637696.0,52808749056.0,0.6342735452816921,0.3657263826660781,0.6951083957347673,0.037253812841883324,0.7323622085766507,0.11611902228582673,0.2676377914233493,3
34,[027410],BGF,649.0,기타 금융업,2017-12-31,사업보고서,858118619136.0,438201253888.0,419917332480.0,132887658496.0,89036873728.0,43850780672.0,725230944256.0,4262198771712.0,0.5106534739092419,0.4893464879048952,0.1037582354496015,0.05110107122037665,0.15485931144321102,4.966910956906413,0.8451406694638575,1
35,[027410],BGF,649.0,기타 금융업,2018-12-31,사업보고서,1624874680320.0,315224621056.0,1309650059264.0,92660539392.0,57669533696.0,34991005696.0,1532214247424.0,650872160256.0,0.19399934337946614,0.8060006566205339,0.03549168092436683,0.021534587325287714,0.05702626824965455,0.4005676056985628,0.9429737972914,2
36,[027410],BGF,649.0,기타 금융업,2019-03-31,1분기보고서,1640806875136.0,333012729856.0,1307794210816.0,107169431552.0,63899230208.0,43270201344.0,1533637427200.0,650940514304.0,0.20295668850631668,0.7970433514350079,0.0389437850220512,0.026371294513507875,0.06531507953555908,0.3967197627996568,0.9346849104791096,2
37,[027410],BGF,649.0,기타 금융업,2019-06-30,반기보고서,1662491688960.0,333318356992.0,1329173364736.0,116107804672.0,64884920320.0,51222888448.0,1546383917056.0,663785504768.0,0.20049324709738128,0.7995067726127925,0.03902871861007009,0.030810913996233782,0.06983963014253215,0.3992714725589048,0.9301603895676416,2
38,[027410],BGF,649.0,기타 금융업,2019-09-30,3분기보고서,1665667694592.0,319043141632.0,1346624552960.0,117912436736.0,64624132096.0,53288308736.0,1547755192320.0,674521284608.0,0.1915406912602388,0.8084593087397612,0.0387977339692774,0.03199216080675252,0.07078989231695597,0.4049554943029749,0.9292100683378612,2
39,[027410],BGF,649.0,기타 금융업,2019-12-31,사업보고서,1657381453824.0,319699386368.0,1337682034688.0,129126735872.0,63739514880.0,65387220992.0,1528254693376.0,672348766208.0,0.19289427043507232,0.8071057097939812,0.03845796315201715,0.03945212542419554,0.07791008857621269,0.4056692951744577,0.9220898965955776,2
40,[027410],BGF,649.0,기타 금융업,2020-03-31,1분기보고서,1639968669696.0,327150829568.0,1312817807360.0,136766300160.0,74108002304.0,62658301952.0,1503202377728.0,659473563648.0,0.19948602410108465,0.8005139559180459,0.04518866956021627,0.038207011578833966,0.08339567864144154,0.40212570876140347,0.916604326353776,2
41,[282330],BGF리테일,471.0,종합 소매업,2017-12-31,사업보고서,1277349462016.0,566642671616.0,710706855936.0,888705318912.0,681364619264.0,207340732416.0,388644208640.0,28683646976.0,0.4436081812111824,0.5563918700950592,0.5334206804993082,0.16232107076536495,0.6957417256115525,0.022455598744864632,0.3042583256946891,3
42,[282330],BGF리테일,471.0,종합 소매업,2018-12-31,사업보고서,1482568499200.0,696072339456.0,786496225280.0,960905478144.0,763691794432.0,197213716480.0,521663021056.0,160313851904.0,0.4695043364482676,0.530495707756098,0.5151140030589421,0.13302165571871874,0.648135636675478,0.10813250921661023,0.3518643633245219,3
43,[282330],BGF리테일,471.0,종합 소매업,2019-03-31,1분기보고서,2056295809024.0,674600255488.0,1381695619072.0,1560457117696.0,970369859584.0,590087258112.0,495838724096.0,134489538560.0,0.32806576394677,0.6719342679241309,0.4719018807146119,0.2869661337257109,0.7588680144403228,0.06540378965409364,0.2411320014951277,0
44,[282330],BGF리테일,471.0,종합 소매업,2019-06-30,반기보고서,2088273182720.0,688351936512.0,1399921180672.0,1546494410752.0,973210058752.0,573284352000.0,541778673664.0,180429504512.0,0.3296273410049798,0.6703726276121529,0.4660357978089738,0.2745255538134577,0.7405613516224314,0.08640129366455229,0.2594386013032677,0
45,[282330],BGF리테일,471.0,종합 소매업,2019-09-30,3분기보고서,2143061540864.0,724402176000.0,1418659364864.0,1551128723456.0,978158485504.0,572970172416.0,591932817408.0,230583615488.0,0.33802210631242485,0.6619778936875752,0.4564304229497974,0.2673605780751403,0.7237910316054874,0.10759542415895232,0.2762089683945126,0
46,[282330],BGF리테일,471.0,종합 소매업,2019-12-31,사업보고서,2172410920960.0,744140636160.0,1428270219264.0,1549815119872.0,950726361088.0,599088758784.0,622595735552.0,261246582784.0,0.3425413806293886,0.6574585892032064,0.4376365225911629,0.27577138054491984,0.7134079031360827,0.1202565224946272,0.2865920666965123,0
47,[282330],BGF리테일,471.0,종합 소매업,2020-03-31,1분기보고서,2178886664192.0,701545775104.0,1477340954624.0,1591177773056.0,957135716352.0,634042122240.0,587708891136.0,226359705600.0,0.3219744223659083,0.6780256077118378,0.4392774218510976,0.290993621953771,0.7302710137271224,0.10388778329777944,0.2697289862728776,0
48,[001460],BYC,141.0,봉제의복 제조업,2017-12-31,사업보고서,745823207424.0,112685948928.0,633137266688.0,346484965376.0,135470768128.0,211014189056.0,399338242048.0,386735931392.0,0.1510893571107906,0.8489106538730457,0.18163925013261886,0.28292789357523784,0.464567154691693,0.5185356630665167,0.535432845308307,0
49,[001460],BYC,141.0,봉제의복 제조업,2018-12-31,사업보고서,738431270912.0,89810780160.0,648620474368.0,331027808256.0,82142593024.0,248885231616.0,407403462656.0,396820021248.0,0.12162374982993222,0.8783762279824917,0.11123932078682117,0.3370458990836265,0.4482851976828716,0.5373824713001485,0.5517148023171284,0
50,[001460],BYC,141.0,봉제의복 제조업,2019-03-31,1분기보고서,725437251584.0,79535955968.0,645901320192.0,316353675264.0,93954473984.0,222399184896.0,409083609088.0,398455996416.0,0.10963864316911268,0.8903613907083866,0.12951426712489522,0.3065726007458109,0.4360868904557056,0.5492632140767062,0.5639131547142935,0
51,[001460],BYC,141.0,봉제의복 제조업,2019-06-30,반기보고서,723490242560.0,81394458624.0,642095841280.0,308257095680.0,114388336640.0,193868775424.0,415233146880.0,404666089472.0,0.11250249669711317,0.8874975825631126,0.1581062603349673,0.2679632205377285,0.42606945822691705,0.5593248749839781,0.573930541773083,0
52,[001460],BYC,141.0,봉제의복 제조업,2019-09-30,3분기보고서,725594800128.0,146040553472.0,579554246656.0,298154819584.0,120617418752.0,177537384448.0,427439980544.0,416983121920.0,0.2012701213490469,0.7987298786509531,0.1662324740071487,0.24467841337435325,0.4109109099615976,0.5746776601023619,0.5890890900384024,2
53,[001460],BYC,141.0,봉제의복 제조업,2019-12-31,사업보고서,693882847232.0,118321889280.0,575560941568.0,259555393536.0,109379624960.0,150175776768.0,434327453696.0,423837597696.0,0.17052142123415112,0.8294785551537938,0.15763413866812145,0.21642814398291169,0.3740622708450056,0.6108201108973224,0.6259377291549945,2
54,[001460],BYC,141.0,봉제의복 제조업,2020-03-31,1분기보고서,687771615232.0,117281603584.0,570489962496.0,254054465536.0,110122991616.0,143931473920.0,433717116928.0,422988218368.0,0.17052405331446896,0.8294758752199473,0.16011563893757547,0.20927219258888555,0.36938783152646093,0.6150126131991025,0.6306121208298164,2
55,[001040],CJ,649.0,기타 금융업,2017-12-31,사업보고서,29325382385664.0,8160114376704.0,20992130809856.0,17333213986816.0,9363258343424.0,7969955643392.0,11992168398848.0,3115330043904.0,0.27826114147084924,0.715834853704012,0.3192885337447917,0.27177669974009244,0.5910652334848842,0.10623322836625516,0.4089347665151159,0
56,[001040],CJ,649.0,기타 금융업,2018-12-31,사업보고서,31729549049856.0,8867107831808.0,22860194119680.0,19207737573376.0,10998410903552.0,8209327718400.0,12521810427904.0,3336515616768.0,0.2794589931888188,0.7204701864423045,0.3466299154227001,0.25872815606363797,0.6053580384390358,0.10515483883888173,0.39464192851366187,0
57,[001040],CJ,649.0,기타 금융업,2019-03-31,1분기보고서,39615398412288.0,9896753889280.0,29717656764416.0,26049805025280.0,13414195789824.0,12635610284032.0,13565592338432.0,3322823311360.0,0.2498208849569515,0.7501541813397011,0.33861064958173315,0.318957041717209,0.6575676648300427,0.08387706408448788,0.3424323087010578,0
58,[001040],CJ,649.0,기타 금융업,2019-06-30,반기보고서,40725953642496.0,10103020322816.0,30621942415360.0,26434108129280.0,13546513498112.0,12887593582592.0,14291844464640.0,3541146796032.0,0.2480732657976087,0.7519024031743521,0.33262605995742045,0.31644669872492026,0.6490727844294603,0.08695061697307799,0.3509271898234201,0
59,[001040],CJ,649.0,기타 금융업,2019-09-30,3분기보고서,41453363396608.0,10165679030272.0,31286697656320.0,26815456346112.0,13745510154240.0,13069946191872.0,14637909147648.0,3573651341312.0,0.2452317061226406,0.7547444909833322,0.33158974394258084,0.31529278014969164,0.6468825240922724,0.08620895986462755,0.3531175264983631,0
60,[001040],CJ,649.0,기타 금융업,2019-12-31,사업보고서,40381366403072.0,10638225047552.0,29228665929728.0,25766280560640.0,12283359002624.0,13481603497984.0,14615084793856.0,3533424558080.0,0.26344390978168336,0.7238156737436314,0.304183837664531,0.3338570409781476,0.6380735189456055,0.08750136196013407,0.3619264550875664,0
61,[001040],CJ,649.0,기타 금융업,2020-03-31,1분기보고서,41216364249088.0,11471233744896.0,29737720217600.0,26156193546240.0,12566929604608.0,13589264990208.0,15060169654272.0,3623498547200.0,0.27831745846311096,0.7215027516226886,0.3049014592519783,0.3297055729632604,0.6346070067744697,0.08791407522753969,0.3653929677847613,0
62,[079160],CJ CGV,591.0,"영화, 비디오물, 방송프로그램 제작 및 배급업",2017-12-31,사업보고서,2460100853760.0,457608527872.0,2002492325888.0,1682438225920.0,868351541248.0,814086750208.0,777662562304.0,319944359936.0,0.18601210075294047,0.8139878992470595,0.3529739603645997,0.3309160065384132,0.6838899402634546,0.13005335104331167,0.31611003309698715,0
63,[079160],CJ CGV,591.0,"영화, 비디오물, 방송프로그램 제작 및 배급업",2018-12-31,사업보고서,2234185940992.0,497032036352.0,1737153970176.0,1683905314816.0,861419339776.0,822485975040.0,550280691712.0,181671329792.0,0.22246672814139767,0.7775333011918816,0.3855629578411551,0.3681367606649643,0.7536997185061195,0.08131432861462559,0.2463003108271597,0
