,df2019ÀüÃ³¸®
138,_currentprovisionsforconstructionwarranties
139,_currentprovisionsforemployeebenefits
140,_currentprovisionsforproductwarranties
141,_currentprovisionsforreturnedgoods
142,_currenttaxassets
143,_currenttaxliabilities
144,_currentvalueaddedtaxpayables
145,_currentvalueaddedtaxreceivables
146,_currentworkoutpayables
147,_currentworkoutreceivable
148,_debtequityswap
149,_deferredincomeclassifiedascurrent
150,_deferredincomeclassifiedasnoncurrent
151,_deferredtaxassets
152,_deferredtaxliabilities
153,_depositsforseveranceinsurance
154,_depositsforseveranceinsurancecontraaccount
155,_discountonbondsissued
156,_discountonbondwithwarrant
157,_discountonconvertiblebonds
158,_discountonconvertibleredeemablepreferredstockliabilities
159,_discountstockissuance
160,_dividendspayable
161,_electronicfacilitiesgross
162,_elementsofotherstockholdersequity
163,_equity
164,_equityabstract
165,_equityandliabilities
166,_equityattributabletoownersofparent
167,_exchangeablebonds
168,_exchangeablerightsadjustmentofexchangeablebonds
169,_experimentmaterialgross
170,_fairvalueofplanassets
171,_financeleaseassetgross
172,_finishedgoodsgross
173,_finishedhousinggross
174,_fittinggross
175,_fixturesandfittingsgross
176,_gainscapitalreduction
177,_gainscumulativeeffectforeigncurrencytranslation
178,_gainssaletreasurystock
179,_gainsvaluationavailableforsalefinancialassets
180,_goodsintransitgross
181,_goodwillgross
182,_governmentgrantsbuildingsgross
183,_governmentgrantscashandcashequivalentsgross
184,_governmentgrantscomputersoftwaregross
185,_governmentgrantsconstructioninprogressgross
186,_governmentgrantscopyrightspatentsandotherindustrialpropertyrightsserviceandoperatingrightsgross
187,_governmentgrantselectronicfacilitiesgross
188,_governmentgrantsfittinggross
189,_governmentgrantsfixturesandfittingsgross
190,_governmentgrantsintangibleassetsunderdevelopmentgross
191,_governmentgrantsinvestmentproperty
192,_governmentgrantslandgross
193,_governmentgrantsmachinerygross
194,_governmentgrantsofficeequipmentgross
195,_governmentgrantsotherintangibleassetsgross
196,_governmentgrantsotherpropertyplantandequipmentgross
197,_governmentgrantsstructuregross
198,_governmentgrantstoolsandequipmentgross
199,_governmentgrantsvehiclesgross
200,_intangibleassetsotherthangoodwill
201,_intangibleassetsunderdevelopmentgross
202,_intangibleexplorationandevaluationassetsgross
203,_inventories
204,_investedassetforpostemploymentbenefit
205,_investedassetforpostemploymentbenefitcontraaccount
206,_investmentaccountedforusingequitymethod
207,_investmentproperty
208,_investmentsinassociates
209,_investmentsinjointventures
210,_investmentsinsubsidiaries
211,_investmentsinsubsidiariesjointventuresandassociates
212,_issuedcapital
213,_issuedcapitalofcommonstock
214,_issuedcapitalofpreferredstock
215,_landgross
216,_landrightgross
217,_landuserightgross
218,_leaseholddeposits
219,_legalreserve
220,_liabilities
221,_liabilitiesabstract
222,_liabilitiesincludedindisposalgroupsclassifiedasheldforsale
223,_licencesandfranchisesgross
224,_longtermaccruedexpensesgross
225,_longtermaccruedincomegross
226,_longtermadvancepaymentsgross
227,_longtermadvancescustomers
228,_longtermborrowingsgross
229,_longtermdepositsnotclassifiedascashequivalents
230,_longtermdepositsprovidedgross
231,_longtermduefromcustomersforcontractwork
232,_longtermduetocustomersforcontractwork
233,_longtermguaranteedepositrentgross
234,_longtermguaranteedepositwithholdings
235,_longtermincomereceivedinadvance
236,_longtermleaseholddeposits
237,_longtermlegalproceedingsprovision
238,_longtermloansgross
239,_longtermmiscellaneousotherprovisions
240,_longtermotherguaranteedepositreceivedgross
241,_longtermotherpayablesgross
242,_longtermotherreceivablesgross
243,_longtermprepaidexpenses
244,_longtermprovisionfordecommissioningrestorationandrehabilitationcosts
245,_longtermtradeandothernoncurrentpayables
246,_longtermtradeandothernoncurrentreceivablesgross
247,_longtermtradepayablesgross
248,_longtermtradereceivablesgross
249,_longtermwarrantyprovision
250,_longtermwithholdingsbanks
251,_lossescapitalreduction
252,_lossescumulativeeffectforeigncurrencytranslation
253,_lossessaletreasurystock
254,_lossesvaluationderivativescashflowhedge
255,_lossvaluationavailableforsalefinancialassets
256,_lotgross
257,_machinerygross
258,_merchandisegross
259,_miningrightsgross
260,_noncontrollinginterests
261,_noncurrentassets
262,_noncurrentassetsordisposalgroupsclassifiedasheldforsaleorasheldfordistributiontoowners
263,_noncurrentavailableforsalefinancialassets
264,_noncurrentbiologicalassetsgross
265,_noncurrentcontractassets
266,_noncurrentcontractliabilities
267,_noncurrentderivativeassets
268,_noncurrentderivativeliabilities
269,_noncurrentemissionliabilities
270,_noncurrentfairvaluefinancialasset
271,_noncurrentfinanceleaseliabilities
272,_noncurrentfinanceleasereceivable
273,_noncurrentfinancialassetsatamortisedcost
274,_noncurrentfinancialassetsatfairvaluethroughprofitorlossdesignateduponinitialrecognition
275,_noncurrentfinancialassetsatfairvaluethroughprofitorlossmandatorilymeasuredatfairvalue
276,_noncurrentfinancialassetsheldtomaturity
277,_noncurrentfinancialassetsmeasuredatfairvaluethroughothercomprehensiveincome
278,_noncurrentfinancialguaranteeliabilities
279,_noncurrentfinancialliabilitiesatamortisedcost
280,_noncurrentfinancialliabilitiesatfairvaluethroughprofitorloss
281,_noncurrentfinancialliabilitiesatfairvaluethroughprofitorlossdesignateduponinitialrecognition
282,_noncurrentfirmcommitmentasset
283,_noncurrentfirmcommitmentliabilities
284,_noncurrentinvestmentsinequityinstrumentsdesignatedatfairvaluethroughothercomprehensiveincome
285,_noncurrentleaseliabilities
286,_noncurrentliabilities
287,_noncurrentnoncashassetspledgedascollateralforwhichtransfereehasrightbycontractorcustomtosellorrepledgecollateral
288,_noncurrentprovisionforconstructionlosses
289,_noncurrentprovisions
290,_noncurrentprovisionsforconstructionwarranties
291,_noncurrentprovisionsforemployeebenefits
292,_noncurrentprovisionsforproductwarranties
293,_noncurrentprovisionsforreturnedgoods
294,_noncurrentworkoutpayables
295,_noncurrentworkoutreceivable
296,_officeequipmentgross
297,_othercapitaladjustments
298,_othercapitalsurplus
299,_othercomprehensiveincomegainslossesonremeasurementsofdefinedbenefitplans
300,_othercomprehensiveincomegainslossesonrevaluation
301,_othercomprehensiveincomelossaccumulatedamount
302,_othercurrentassets
303,_othercurrentfinancialassets
304,_othercurrentfinancialliabilities
305,_othercurrentliabilities
306,_otherintangibleassetsgross
307,_otherinventoriesgross
308,_othernoncurrentassets
309,_othernoncurrentfinancialassets
310,_othernoncurrentfinancialliabilities
311,_othernoncurrentliabilities
312,_otherpropertyplantandequipmentgross
313,_paymentsofincometaxespayable
314,_postemploymentbenefitobligations
315,_presentvaluediscountslongtermaccruedexpensesgross
316,_presentvaluediscountslongtermborrowingsgross
