영문 Label,한글 Label,Data Type,IFRS Reference,Element ID,Element Name
Reserve of losses on financial assets measured at fair value through other comprehensive income,기타포괄손익-공정가치 측정 금융자산 평가손실 적립금,(X),K-IFRS 1001 문단 78 (5),dart_ReserveOfLossesOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,ReserveOfLossesOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome
Reserve of gains on hedging instruments that hedge investments in equity instruments,지분상품투자에 대한 위험회피수단 평가이익 적립금,X,K-IFRS 1001 문단 78 (5),dart_ReserveOfGainsOnHedgingInstrumentsThatHedgeInvestmentsInEquityInstruments,ReserveOfGainsOnHedgingInstrumentsThatHedgeInvestmentsInEquityInstruments
Reserve of losses on hedging instruments that hedge investments in equity instruments,지분상품투자에 대한 위험회피수단 평가손실 적립금,(X),K-IFRS 1001 문단 78 (5),dart_ReserveOfLossesOnHedgingInstrumentsThatHedgeInvestmentsInEquityInstruments,ReserveOfLossesOnHedgingInstrumentsThatHedgeInvestmentsInEquityInstruments
Reserve of change in value of time value of options,옵션의 시간가치 변동 적립금,X,"K-IFRS 1109 문단 6.5.15
K-IFRS 1001 문단 78 (5)",ifrs-full_ReserveOfChangeInValueOfTimeValueOfOptions,ReserveOfChangeInValueOfTimeValueOfOptions
Reserve of change in value of forward elements of forward contracts,선도계약의 선도요소 가치 변동 적립금,X,"K-IFRS 1109 문단 6.5.16
K-IFRS 1001 문단 78 (5)",ifrs-full_ReserveOfChangeInValueOfForwardElementsOfForwardContracts,ReserveOfChangeInValueOfForwardElementsOfForwardContracts
Reserve of change in value of foreign currency basis spreads,외화베이시스스프레드 변동 적립금,X,"K-IFRS 1109 문단 6.5.16
K-IFRS 1001 문단 78 (5)",ifrs-full_ReserveOfChangeInValueOfForeignCurrencyBasisSpreads,ReserveOfChangeInValueOfForeignCurrencyBasisSpreads
Reserve of gains from investments in equity instruments,지분상품투자 평가이익 적립금,X,K-IFRS 1001 문단 78 (5),dart_ReserveOfGainsFromInvestmentsInEquityInstruments,ReserveOfGainsFromInvestmentsInEquityInstruments
Reserve of losses from investments in equity instruments,지분상품투자 평가손실 적립금,(X),K-IFRS 1001 문단 78 (5),dart_ReserveOfLossesFromInvestmentsInEquityInstruments,ReserveOfLossesFromInvestmentsInEquityInstruments
Reserve of change in fair value of financial liability attributable to change in credit risk of liability,신용위험 변동에 의한 금융부채 공정가치 변동 적립금,X,K-IFRS 1001 문단 78 (5),ifrs-full_ReserveOfChangeInFairValueOfFinancialLiabilityAttributableToChangeInCreditRiskOfLiability,ReserveOfChangeInFairValueOfFinancialLiabilityAttributableToChangeInCreditRiskOfLiability
Gains cumulative effect foreign currency translation,해외사업환산이익,X,"K-IFRS 1001 문단 54 (18), 
K-IFRS 1001 문단 78 (5), 
K-IFRS 1001 문단 58",dart_GainsCumulativeEffectForeignCurrencyTranslation,GainsCumulativeEffectForeignCurrencyTranslation
Losses cumulative effect foreign currency translation,해외사업환산손실,(X),"K-IFRS 1001 문단 54 (18), 
K-IFRS 1001 문단 78 (5), 
K-IFRS 1001 문단 58",dart_LossesCumulativeEffectForeignCurrencyTranslation,LossesCumulativeEffectForeignCurrencyTranslation
