영문 Label,한글 Label,Data Type,IFRS Reference,Element ID,Element Name
Current financial assets measured at fair value through other comprehensive income,유동 기타포괄손익-공정가치 측정 금융자산,X,K-IFRS 1107 문단 8 (8)(가),ifrs-full_CurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,CurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome
Current investments in equity instruments designated at fair value through other comprehensive income,유동 기타포괄손익-공정가치 측정 지정 지분상품 투자,X,K-IFRS 1107 문단 8 (8)(나),ifrs-full_CurrentInvestmentsInEquityInstrumentsDesignatedAtFairValueThroughOtherComprehensiveIncome,CurrentInvestmentsInEquityInstrumentsDesignatedAtFairValueThroughOtherComprehensiveIncome
Current financial assets held to maturity,유동만기보유금융자산,X,"K-IFRS 1001 문단 54 (4), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78",dart_CurrentFinancialAssetsHeldToMaturity,CurrentFinancialAssetsHeldToMaturity
Current financial assets at amortised cost,유동 상각후원가 측정 금융자산,X,K-IFRS 1107 문단 8 (6),ifrs-full_CurrentFinancialAssetsAtAmortisedCost,CurrentFinancialAssetsAtAmortisedCost
Current financial asset held for trading,유동단기매매금융자산,X,"K-IFRS 1001 문단 54 (4), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78",dart_CurrentFinancialAssetHeldForTrading,CurrentFinancialAssetHeldForTrading
"Current financial assets at fair value through profit or loss, mandatorily measured at fair value",유동 당기손익-공정가치 의무 측정 금융자산,X,K-IFRS 1107 문단 8 (1)(나) ,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue,CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue
Current financial asset designation as at fair value through profit or loss,유동당기손익인식지정금융자산,X,"K-IFRS 1001 문단 54 (4), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78",dart_CurrentFinancialAssetDesignationAsAtFairValueThroughProfitOrLoss,CurrentFinancialAssetDesignationAsAtFairValueThroughProfitOrLoss
"Current financial assets at fair value through profit or loss, designated upon initial recognition or subsequently",유동 당기손익-공정가치 측정 지정 금융자산,X,K-IFRS 1107 문단 8 (1)(가) ,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition,CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition
Current derivative asset,유동파생상품자산,X,"K-IFRS 1001 문단 54 (4), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78",dart_CurrentDerivativeAsset,CurrentDerivativeAsset
Current firm commitment asset,유동확정계약자산,X,"K-IFRS 1001 문단 54 (4), 
K-IFRS 1001 문단 68,
K-IFRS 1001 문단 78",dart_CurrentFirmCommitmentAsset,CurrentFirmCommitmentAsset
"Current biological assets, gross",유동생물자산,X,"K-IFRS 1001 문단 54 (6), 
K-IFRS 1001 문단 78",dart_CurrentBiologicalAssetsGross,CurrentBiologicalAssetsGross
"Government grants, current biological assets",정부보조금,(X),K-IFRS 1020 문단 24,dart_GovernmentGrantsCurrentBiologicalAssetsGross,GovernmentGrantsCurrentBiologicalAssetsGross
"Accumulated depreciation, current biological assets",감가상각누계액,(X),"K-IFRS 1001 문단 54 (6), 
K-IFRS 1001 문단 78,
K-IFRS 1041 문단 30,",dart_AccumulatedDepreciationCurrentBiologicalAssetsGross,AccumulatedDepreciationCurrentBiologicalAssetsGross
"Accumulated Impairment loss, current biological assets",손상차손누계액,(X),"K-IFRS 1001 문단 54 (6), 
K-IFRS 1001 문단 78,
K-IFRS 1041 문단 30,",dart_AccumulatedImpairmentLossCurrentBiologicalAssetsGross,AccumulatedImpairmentLossCurrentBiologicalAssetsGross
Other current assets,기타유동자산,X,K-IFRS 1001 문단 57 ,dart_OtherCurrentAssets,OtherCurrentAssets
Current emission right,유동배출권,X,일반기업회계기준 33.13,dart_CurrentEmissionRight,CurrentEmissionRight
"Government grants, current emission right",정부보조금,(X),일반기업회계기준 17.5,dart_GovernmentGrantsCurrentEmissionRight,GovernmentGrantsCurrentEmissionRight
"Accumulated impairment loss, current emission right",손상차손누계액,(X),일반기업회계기준 33.5,dart_AccumulatedImpairmentLossCurrentEmissionRight,AccumulatedImpairmentLossCurrentEmissionRight
Current non-cash assets pledged as collateral for which transferee has right by contract or custom to sell or repledge collateral,양수자가 계약이나 관행에 따라 담보물을 매도하거나 다시 담보로 제공할 권리를 가지고 있는 유동 비현금담보물,X,K-IFRS 1039 문단 37 (1),dart_CurrentNoncashAssetsPledgedAsCollateralForWhichTransfereeHasRightByContractOrCustomToSellOrRepledgeCollateral,CurrentNoncashAssetsPledgedAsCollateralForWhichTransfereeHasRightByContractOrCustomToSellOrRepledgeCollateral
Non-current assets or disposal groups classified as held for sale or as held for distribution to owners,매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,X,"K-IFRS 1001 문단 54 (10), 
K-IFRS 1001 문단 66",ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners
Non-current assets,비유동자산,X,K-IFRS 1001 문단 60,ifrs-full_NoncurrentAssets,NoncurrentAssets
Long-term deposits not classified as cash equivalents,장기금융상품,X,K-IFRS 1001 문단 54 (4),dart_LongTermDepositsNotClassifiedAsCashEquivalents,LongTermDepositsNotClassifiedAsCashEquivalents
"Long-term trade and other non-current receivables, gross",장기매출채권 및 기타비유동채권,X,K-IFRS 1001 문단 54 (8),dart_LongTermTradeAndOtherNonCurrentReceivablesGross,LongTermTradeAndOtherNonCurrentReceivablesGross
"Long-term trade receivables, gross",장기매출채권,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 ",dart_LongTermTradeReceivablesGross,LongTermTradeReceivablesGross
"Present value discounts, long-term trade Receivables",현재가치할인차금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_PresentValueDiscountsLongTermTradeReceivablesGross,PresentValueDiscountsLongTermTradeReceivablesGross
"Allowance for doubtful acccount, long-term trade Receivables",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountLongTermTradeReceivablesGross,AllowanceForDoubtfulAcccountLongTermTradeReceivablesGross
Non-current finance lease receivables,장기금융리스채권,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_NoncurrentFinanceLeaseReceivable,NoncurrentFinanceLeaseReceivable
"Present value discounts, non-current finance lease receivable",현재가치할인차금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_PresentValueDiscountsNoncurrentFinanceLeaseReceivable,PresentValueDiscountsNoncurrentFinanceLeaseReceivable
"Allowance for doubtful acccount, non-current finance lease receivable",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountNoncurrentFinanceLeaseReceivable,AllowanceForDoubtfulAcccountNoncurrentFinanceLeaseReceivable
Long-term deferred ancillary income for loans,장기이연대출부대손익,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_LongTermDeferredAncillaryIncomeForLoans,LongTermDeferredAncillaryIncomeForLoans
"Present value discounts, long-term deferred ancillaryIncome for loans",현재가치할인차금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_PresentValueDiscountsLongTermDeferredAncillaryIncomeForLoans,PresentValueDiscountsLongTermDeferredAncillaryIncomeForLoans
"Allowance for doubtful acccount, long-term deferred ancillary income for loans",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountLongTermDeferredAncillaryIncomeForLoans,AllowanceForDoubtfulAcccountLongTermDeferredAncillaryIncomeForLoans
"Long-term other Receivables, gross",장기미수금,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_LongTermOtherReceivablesGross,LongTermOtherReceivablesGross
"Present value discounts, long-term other Receivables",현재가치할인차금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_PresentValueDiscountsLongTermOtherReceivablesGross,PresentValueDiscountsLongTermOtherReceivablesGross
"Allowance for doubtful acccount, long-term other Receivables",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountLongTermOtherReceivablesGross,AllowanceForDoubtfulAcccountLongTermOtherReceivablesGross
Long-term receivables on construction contracts,장기공사미수금,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_LongTermReceivablesOnConstructionContracts,LongTermReceivablesOnConstructionContracts
"Present value discounts, long-term receivables on construction contracts",현재가치할인차금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_PresentValueDiscountsLongTermReceivablesOnConstructionContracts,PresentValueDiscountsLongTermReceivablesOnConstructionContracts
"Allowance for doubtful acccount, long-term receivables on construction contracts",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountLongTermReceivablesOnConstructionContracts,AllowanceForDoubtfulAcccountLongTermReceivablesOnConstructionContracts
Long-term receivables realestate sales,장기분양미수금,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_LongTermReceivablesRealestateSales,LongTermReceivablesRealestateSales
"Present value discounts, long-term receivables realestate sales",현재가치할인차금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_PresentValueDiscountsLongTermReceivablesRealestateSales,PresentValueDiscountsLongTermReceivablesRealestateSales
"Allowance for doubtful acccount, long-term receivables realestate sales",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountLongTermReceivablesRealestateSales,AllowanceForDoubtfulAcccountLongTermReceivablesRealestateSales
Long-term receivables agent,장기대행미수금,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_LongTermReceivablesAgent,LongTermReceivablesAgent
Present value discounts long-term receivables agent,현재가치할인차금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_PresentValueDiscountsLongTermReceivablesAgent,PresentValueDiscountsLongTermReceivablesAgent
"Allowance for doubtful acccount, long-term receivables agent",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountLongTermReceivablesAgent,AllowanceForDoubtfulAcccountLongTermReceivablesAgent
"Long-term accrued Income, gross",장기미수수익,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_LongTermAccruedIncomeGross,LongTermAccruedIncomeGross
"Present value discounts, long-term accrued income",현재가치할인차금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_PresentValueDiscountsLongTermAccruedIncomeGross,PresentValueDiscountsLongTermAccruedIncomeGross
"Allowance for doubtful acccount, long-term accrued Income",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountLongTermAccruedIncomeGross,AllowanceForDoubtfulAcccountLongTermAccruedIncomeGross
"Long-term deposits provided, gross",장기보증금자산,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_LongTermDepositsProvidedGross,LongTermDepositsProvidedGross
"Present value discounts, long-term deposits provided",현재가치할인차금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_PresentValueDiscountsLongTermDepositsProvidedGross,PresentValueDiscountsLongTermDepositsProvidedGross
"Allowance for doubtful acccount, long-term deposits Provided",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountLongTermDepositsProvidedGross,AllowanceForDoubtfulAcccountLongTermDepositsProvidedGross
"Long-term advance payments, gross",장기선급금,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_LongTermAdvancePaymentsGross,LongTermAdvancePaymentsGross
"Present value discounts, long-term advance payments",현재가치할인차금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_PresentValueDiscountsLongTermAdvancePaymentsGross,PresentValueDiscountsLongTermAdvancePaymentsGross
"Allowance for doubtful acccount, long-term advance payments",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountLongTermAdvancePaymentsGross,AllowanceForDoubtfulAcccountLongTermAdvancePaymentsGross
Long-term prepaid expenses,장기선급비용,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_LongTermPrepaidExpenses,LongTermPrepaidExpenses
"Present value discounts, long-term prepaid expenses",현재가치할인차금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_PresentValueDiscountsLongTermPrepaidExpensesGross,PresentValueDiscountsLongTermPrepaidExpensesGross
"Allowance for doubtful acccount, long-term prepaid expenses",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountLongTermPrepaidExpensesGross,AllowanceForDoubtfulAcccountLongTermPrepaidExpensesGross
"Long-term loans, gross",장기대여금,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_LongTermLoansGross,LongTermLoansGross
"Present value discounts, long-term loans",현재가치할인차금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_PresentValueDiscountsLongTermLoansGross,PresentValueDiscountsLongTermLoansGross
"Allowance for doubtful acccount, long-term loans",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountLongTermLoansGross,AllowanceForDoubtfulAcccountLongTermLoansGross
Long-term leasehold deposits,장기임차보증금,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_LongTermLeaseholdDeposits,LongTermLeaseholdDeposits
"Present value discounts, long-term leasehold deposits",현재가치할인차금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_PresentValueDiscountsLongTermLeaseholdDeposits,PresentValueDiscountsLongTermLeaseholdDeposits
"Allowance for doubtful acccount, long-term leasehold deposits",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountLongTermLeaseholdDeposits,AllowanceForDoubtfulAcccountLongTermLeaseholdDeposits
Long-term due from customers for contract work,장기미청구공사,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_LongTermDueFromCustomersForContractWork,LongTermDueFromCustomersForContractWork
"Present value discounts, long-term due from customers for contract work",현재가치할인차금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_PresentValueDiscountsLongTermDueFromCustomersForContractWork,PresentValueDiscountsLongTermDueFromCustomersForContractWork
"Allowance for doubtful acccount, long-term due from customers for contract work",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountLongTermDueFromCustomersForContractWork,AllowanceForDoubtfulAcccountLongTermDueFromCustomersForContractWork
Non-current contract assets,비유동계약자산,X,K-IFRS 1115 문단 105,ifrs-full_NoncurrentContractAssets,NoncurrentContractAssets
Long-term contract reserve,장기공사유보금,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_LongTermContractReserve,LongTermContractReserve
"Present value discounts, long-term contract reserve",현재가치할인차금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_PresentValueDiscountsLongTermContractReserve,PresentValueDiscountsLongTermContractReserve
"Allowance for doubtful acccount, long-term contract reserve",대손충당금,(X),"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_AllowanceForDoubtfulAcccountLongTermContractReserve,AllowanceForDoubtfulAcccountLongTermContractReserve
Non-current workout receivable,비유동회생채권,X,"K-IFRS 1001 문단 54 (8), 
K-IFRS 1001 문단 60 
K-IFRS 1001 문단 78 (2), ",dart_NonCurrentWorkoutReceivable,NonCurrentWorkoutReceivable
"Property, plant and equipment",유형자산,X,"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 37, ",ifrs-full_PropertyPlantAndEquipment,PropertyPlantAndEquipment
"Land, gross",토지,X,"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 37, ",dart_LandGross,LandGross
"Government grants, land",정부보조금,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1020 문단 24",dart_GovernmentGrantsLandGross,GovernmentGrantsLandGross
"Accumulated Impairment loss, land",손상차손누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedImpairmentLossLandGross,AccumulatedImpairmentLossLandGross
"Buildings, gross",건물,X,"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 37, ",dart_BuildingsGross,BuildingsGross
"Government grants, buildings",정부보조금,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1020 문단 24",dart_GovernmentGrantsBuildingsGross,GovernmentGrantsBuildingsGross
"Accumulated depreciation, buildings",감가상각누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedDepreciationBuildingsGross,AccumulatedDepreciationBuildingsGross
"Accumulated Impairment loss, buildings",손상차손누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedImpairmentLossBuildingsGross,AccumulatedImpairmentLossBuildingsGross
Building incidental facilities,건물부대설비,X,"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 37, ",dart_BuildingIncidentalFacilitiesGross,BuildingIncidentalFacilitiesGross
"Government grants, building incidental facilities",정부보조금,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1020 문단 24",dart_GovernmentGrantsBuildingIncidentalFacilitiesGross,GovernmentGrantsBuildingIncidentalFacilitiesGross
"Accumulated depreciation, building incidental facilities",감가상각누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedDepreciationBuildingIncidentalFacilitiesGross,AccumulatedDepreciationBuildingIncidentalFacilitiesGross
"Accumulated impairment loss, building incidental facilities",손상차손누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedImpairmentLossBuildingIncidentalFacilitiesGross,AccumulatedImpairmentLossBuildingIncidentalFacilitiesGross
"Fitting, gross",시설물,X,"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 37, ",dart_FittingGross,FittingGross
"Government grants, fitting",정부보조금,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1020 문단 24",dart_GovernmentGrantsFittingGross,GovernmentGrantsFittingGross
"Accumulated depreciation, fitting",감가상각누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedDepreciationFittingGross,AccumulatedDepreciationFittingGross
"Accumulated impairment loss, fitting",손상차손누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedImpairmentLossFittingGross,AccumulatedImpairmentLossFittingGross
"Structure, gross",구축물,X,"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 37, ",dart_StructureGross,StructureGross
"Government grants, structure",정부보조금,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1020 문단 24",dart_GovernmentGrantsStructureGross,GovernmentGrantsStructureGross
"Accumulated depreciation, structure",감가상각누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedDepreciationStructureGross,AccumulatedDepreciationStructureGross
"Accumulated Impairment loss, structure",손상차손누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedImpairmentLossStructureGross,AccumulatedImpairmentLossStructureGross
Machinery,기계장치,X,"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 37, ",dart_MachineryGross,MachineryGross
"Government grants, machinery",정부보조금,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1020 문단 24",dart_GovernmentGrantsMachineryGross,GovernmentGrantsMachineryGross
"Accumulated depreciation, machinery",감가상각누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedDepreciationMachineryGross,AccumulatedDepreciationMachineryGross
"Accumulated Impairment loss, machinery",손상차손누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedImpairmentLossMachineryGross,AccumulatedImpairmentLossMachineryGross
"Vehicles, gross",차량운반구,X,"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 37, ",dart_VehiclesGross,VehiclesGross
"Government grants, vehicles",정부보조금,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1020 문단 24",dart_GovernmentGrantsVehiclesGross,GovernmentGrantsVehiclesGross
"Accumulated depreciation, vehicles",감가상각누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedDepreciationVehiclesGross,AccumulatedDepreciationVehiclesGross
"Accumulated Impairment loss, vehicles",손상차손누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedImpairmentLossVehiclesGross,AccumulatedImpairmentLossVehiclesGross
Supply facilities,공급설비,X,"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 37, ",dart_SupplyFacilitiesGross,SupplyFacilitiesGross
"Government grants, supply facilities",정부보조금,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1020 문단 24",dart_GovernmentGrantsSupplyFacilitiesGross,GovernmentGrantsSupplyFacilitiesGross
"Accumulated depreciation, supply facilities",감가상각누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedDepreciationSupplyFacilitiesGross,AccumulatedDepreciationSupplyFacilitiesGross
"Accumulated impairment loss, supply facilities",손상차손누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedImpairmentLossSupplyFacilitiesGross,AccumulatedImpairmentLossSupplyFacilitiesGross
Electronic facilities,전산장비/전산설비,X,"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 37, ",dart_ElectronicFacilitiesGross,ElectronicFacilitiesGross
"Government grants, electronic facilities",정부보조금,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1020 문단 24",dart_GovernmentGrantsElectronicFacilitiesGross,GovernmentGrantsElectronicFacilitiesGross
Accumulated depreciation electronic facilities,감가상각누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedDepreciationElectronicFacilitiesGross,AccumulatedDepreciationElectronicFacilitiesGross
"Accumulated impairment loss, electronic facilities",손상차손누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedImpairmentLossElectronicFacilitiesGross,AccumulatedImpairmentLossElectronicFacilitiesGross
Tools and equipment,공구와기구,X,"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 37, ",dart_ToolsAndEquipmentGross,ToolsAndEquipmentGross
"Government grants, tools and equipment",정부보조금,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1020 문단 24",dart_GovernmentGrantsToolsAndEquipmentGross,GovernmentGrantsToolsAndEquipmentGross
"Accumulated depreciation, tools and equipment",감가상각누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedDepreciationToolsAndEquipmentGross,AccumulatedDepreciationToolsAndEquipmentGross
Accumulated impairment loss. tools and equipment,손상차손누계액,(X),"K-IFRS 1001 문단 54 (1), 
K-IFRS 1001 문단 78 (1), 
K-IFRS 1016 문단 30, 31",dart_AccumulatedImpairmentLossToolsAndEquipmentGross,AccumulatedImpairmentLossToolsAndEquipmentGross
